Class,CC,AC,PCC,PAC,HDy
Asterionellopsis,5.34768009828,2.24010953052,8.49821061992,5.85313555386,4.11499371749
Cerataulina,8.34264600435,2.61624503665,10.574961374,7.36764296214,5.0498951244
Ceratium,1.02911769781,1.0111006325,1.24566495611,1.08133422354,23.3199723216
Chaetoceros,8.20220634445,1.41339639419,13.4586355913,6.57656008345,1.6742806582
Corethron,2.51272492364,1.39730711774,4.74445697628,3.02370690848,2.95839378526
Coscinodiscus,2.00565777698,1.35539288555,4.20204267354,2.68248845103,8.00977224318
Cylindrotheca,0.537609539825,0.774717055468,0.808065861531,0.60381737035,1.95964719376
DactFragCerataul,23.2724009353,4.14151791342,28.0986791391,11.3884453338,5.91140912078
Dactyliosolen,5.4698198171,2.26714406621,7.18031780649,6.06719768615,4.79447074453
Dictyocha,1.62098172408,1.15952100318,4.01154090721,2.0613946531,3.47568516467
Dinobryon,1.00892556347,0.971862157074,2.13308271811,1.01601153853,2.2695182739
Dinophysis,4.02649503419,2.07784795801,8.71680670368,5.19291508652,4.37561956933
Ditylum,2.01749332935,1.22391900212,3.61583361516,2.07549262774,3.29769702111
Ephemera,1.64122991048,1.23149572272,3.89512605042,2.00467610832,4.94035679714
Eucampia,2.92915835464,1.62886998572,5.18857159633,2.88949906208,4.20765472282
Euglena,5.34488799912,2.05509714555,9.5304280849,6.66704932276,2.73559638354
Guinardia,4.27826228933,1.73323099655,5.27046069649,3.924093156,3.08697081938
Guinardia_flaccida,2.63335360463,1.48327718573,6.32678273107,4.80357653965,10.1429008521
Guinardia_striata,1.86075472676,1.26787006417,4.26938184681,2.86545815387,3.12509626955
Gyrodinium,3.42833156079,1.62164253956,4.54293699016,2.91015012517,3.10906398792
Laboea,1.21326206491,1.0821812643,1.27634635551,1.28316016054,3.43030839403
Lauderia,1.20025224813,1.10780322571,3.96857390573,1.86240037562,3.52893010344
Leptocylindrus,3.54021398253,1.13190164234,4.23851521864,1.84089965075,1.27801807385
Licmophora,2.07232058836,1.40492982526,4.05699475046,2.09804202967,3.07823373775
Myrionecta,1.61441289764,1.08366878683,2.81098437445,1.42737392785,2.36692739774
Odontella,1.14020093854,2295.9802375,5.15850721674,2.78383059997,7.77584844095
Paralia,2.25086543196,1.37902146969,4.91091570755,2.69626628967,6.2457689105
Phaeocystis,1.10494504887,1.05270845041,1.19873713937,1.18709995749,3.01512451579
Pleurosigma,1.39812159263,1.09980676433,3.12066162319,1.75219565762,3.89058276557
Prorocentrum,3.22009321926,1.74963061584,5.17493160786,3.64030088837,3.39091581017
Pseudonitzschia,6.62153056365,2.45084218367,7.96316508534,5.86322176602,5.60018258834
Pyramimonas,2.90134746259,1.6097102949,6.95734660695,5.15005318405,5.94867516846
Rhizosolenia,8.26609232121,3.29132822165,9.19557589851,8.39226729908,7.53558967934
Skeletonema,10.4619770502,4.51662525561,11.8026641915,11.2927950242,8.15007085489
Stephanopyxis,1.19621413028,2236.83875818,5.69093031924,2.9369240687,5.94196212431
Thalassionema,1.54054720348,1.0589690869,2.88303613869,1.41763274763,3.79676708794
Thalassiosira,22.088214653,4.9734503767,26.4540366329,19.3081498333,9.90369991749
Thalassiosira_dirty,7.07432610044,2.05861890868,10.6321260825,5.09204671849,3.65851946862
bad,9.30946946288,2.95902875694,14.7785023889,11.6359470216,5.13902516151
ciliate_mix,1.10022604193,0.865755464271,1.56512400092,1.17975795755,2.16597638386
clusterflagellate,3.49227837381,1.64036083012,6.40037325395,3.25443173849,2.37277141681
detritus,1.05899816185,0.721096142513,1.04685757788,1.04200604633,1.0847387953
dino30,6.6890714488,1.19355965457,8.19401295593,3.11126853221,2.00072782354
kiteflagellates,1.71119741814,1.24590436568,6.02856403417,4.31420661945,3.44032985613
mix,0.19629676019,0.670514573886,0.23835148272,0.143663121165,0.121763890567
mix_elongated,4.69813502569,1.12712914896,5.59901361072,1.82852033629,1.14699836677
na,19.8056029544,3.57490598085,22.9743514522,9.76547316555,5.86499900023
pennate,2.11980707575,1.02519090017,3.11384624773,1.61954081164,2.26921405014
tintinnid,1.48892438664,1.11112911734,2.9100246984,1.49320999968,11.9988757323
