Class,CC,AC,PCC,PAC,HDy
Asterionellopsis,0.000345523063902,0.000338815359724,0.000683211509829,0.000411725993809,0.000680551660565
Cerataulina,0.00315227481769,0.0030522869967,0.00347690262112,0.00321317430636,0.00367476284226
Ceratium,2.97962650248e-05,2.80207241059e-05,3.43580550558e-05,2.94864703682e-05,0.00796606056502
Chaetoceros,0.004736294954,0.00426203391188,0.00616886134534,0.00522174608616,0.00489397153317
Corethron,0.000207713926975,0.00019401117465,0.00047408812232,0.000235425196698,0.00108105196327
Coscinodiscus,0.000110306466392,0.000118498131567,0.0003970796992,0.000134868314436,0.0202201774856
Cylindrotheca,0.00251220761758,0.00244805915997,0.00251196189118,0.00244533508941,0.00433799415658
DactFragCerataul,0.00235867529575,0.00173032072146,0.00306338507416,0.00206180654282,0.00157382005707
Dactyliosolen,0.000875555171087,0.000880325027921,0.000939481488423,0.000937098617224,0.00171826448713
Dictyocha,0.000131515933148,0.000132069885334,0.000185496146199,0.000153855422652,0.000834058052946
Dinobryon,0.00038748254211,0.000362601346528,0.00043540775287,0.000381175635633,0.00113654361528
Dinophysis,0.000182221337524,0.000185402105891,0.000779285519812,0.000462508882375,0.00124083436234
Ditylum,0.000188240135577,0.00017717032166,0.000442688851298,0.000203680508339,0.00438110038032
Ephemera,9.40250890746e-05,9.50718461548e-05,0.000403736572136,0.00012993070435,0.00222572603301
Eucampia,0.000217980083139,0.000222088295562,0.000536748593801,0.000274396931653,0.000797065853198
Euglena,0.000337003587465,0.000310735408269,0.000679283498078,0.00039165437982,0.000435622697642
Guinardia,0.00176061582168,0.00171618711094,0.00210029529892,0.00184856733623,0.00279981833898
Guinardia_flaccida,0.000121588494459,0.0001200953591,0.00036911785156,0.000123905312793,0.00474886262874
Guinardia_striata,0.000453319833126,0.000450784468613,0.000669757150764,0.000461807450768,0.00143367731084
Gyrodinium,0.000474493785899,0.000470927234563,0.000711739325355,0.000531043284678,0.00118505815228
Laboea,5.51837166356e-05,5.13796255432e-05,9.14104633017e-05,5.86085388837e-05,0.00329031643521
Lauderia,2.7542567416e-05,3.8407849682e-05,0.000387419299436,8.65546844629e-05,0.00304161136578
Leptocylindrus,0.0108322491755,0.0105099842082,0.0113652631536,0.010611975262,0.0129209112011
Licmophora,5.06994796769e-05,5.20404883611e-05,0.000354312580937,8.28265932519e-05,0.00789428406316
Myrionecta,0.000245112415595,0.000253220623088,0.000400589516076,0.000252106541485,0.000773779531526
Odontella,7.67546907775e-06,8.57731073482e-06,1.8893033095e-05,1.21962691861e-05,0.00107037501885
Paralia,6.23529865427e-05,6.16819019262e-05,0.000418554464122,0.000124501224226,0.00183363919344
Phaeocystis,0.000176813898468,0.000171569273615,0.000181404312172,0.00017581292099,0.00133414591249
Pleurosigma,7.7739865921e-05,7.76249828365e-05,0.000108979582594,8.23576093052e-05,0.00100837015814
Prorocentrum,0.000453580473656,0.000449339454841,0.000636534928867,0.000479843812385,0.00129247324478
Pseudonitzschia,0.00118514374539,0.00119593716921,0.00157883804154,0.00141588202405,0.00188065843126
Pyramimonas,0.000130452256454,0.000125569754623,0.000457545368856,0.000188921611425,0.00113675860022
Rhizosolenia,0.00214108649178,0.00201816794748,0.00259615851401,0.00231768150847,0.00328682670402
Skeletonema,0.00305906003942,0.0030821445142,0.00337320569116,0.00327793188317,0.0037742716622
Stephanopyxis,2.24818713757e-05,4.12735363035e-05,0.000146076561733,6.69445883825e-05,0.00102334206931
Thalassionema,0.000129307553259,0.000133718963545,0.000356158201168,0.000141578934518,0.000985842242596
Thalassiosira,0.0023841393605,0.00216799686011,0.00306602040508,0.00248844934909,0.00273504432266
Thalassiosira_dirty,0.000677610199584,0.000619303715323,0.000999469938071,0.000676686473543,0.00103086104821
bad,0.00330217432328,0.00328133506211,0.00517869191147,0.00491485832998,0.00275954861202
ciliate_mix,0.000647688643546,0.000635295544326,0.000784080124372,0.000655559799681,0.00254380836371
clusterflagellate,8.91546068434e-05,8.04687765741e-05,0.000687045936082,0.00034107934077,0.000266480989898
detritus,0.0404432716443,0.0378908679913,0.0439840698381,0.0393040451318,0.0354082182574
dino30,0.0119356143406,0.00975078448734,0.0131869582299,0.0101867407833,0.00842817006074
kiteflagellates,6.46248161517e-05,6.45247057281e-05,7.02741965963e-05,6.66140367913e-05,0.000477794579921
mix,0.0605270128714,0.0467464823822,0.0829755753926,0.0549496498347,0.0795115216239
mix_elongated,0.0152626638893,0.0138412874142,0.0155506010931,0.0134350545314,0.0126779610612
na,0.00240805925,0.00238166724928,0.00341723779319,0.00295598525474,0.00280171739404
pennate,0.00089187341061,0.000909355637298,0.00112736038815,0.000936966150546,0.0018518275302
tintinnid,0.000129916482345,0.000135303879775,0.000161989850885,0.000140985178876,0.00086511466762
