,CC,AC,PCC,PAC,HDy
Skeletonema,0.57046979865771807,0.61073825503355705,0.37919463087248323,0.51006711409395977,0.81543624161073824
Cerataulina,0.74712643678160917,0.8413793103448276,0.52643678160919538,0.70574712643678161,0.96091954022988502
Lauderia,0.99737187910643887,0.99474375821287775,0.99605781865965837,0.99605781865965837,0.85676741130091982
ciliate_mix,0.77368421052631575,0.86315789473684212,0.56842105263157894,0.79473684210526319,0.90526315789473688
Guinardia_flaccida,0.97237569060773477,0.97237569060773477,0.94613259668508287,0.97513812154696133,0.85773480662983426
Leptocylindrus,0.46153846153846156,0.76923076923076927,0.24615384615384617,0.69230769230769229,0.88461538461538458
mix,,,,,
Chaetoceros,0.14285714285714285,0.58730158730158732,0.087301587301587297,0.40476190476190477,0.91269841269841268
mix_elongated,0.078125,0.90625,0.015625,0.8125,0.890625
Thalassionema,0.9640718562874252,0.96856287425149701,0.89970059880239517,0.96257485029940115,0.93413173652694614
Eucampia,0.98614958448753465,0.98199445983379496,0.93628808864265933,0.97506925207756234,0.9293628808864266
tintinnid,0.97461212976022571,0.97179125528913968,0.97038081805359666,0.97038081805359666,0.92806770098730607
pennate,0.73007712082262211,0.7994858611825193,0.46015424164524421,0.67609254498714655,0.94858611825192807
kiteflagellates,1.0,1.0,1.0,1.0,0.93431635388739942
Stephanopyxis,0.99738219895287961,0.99214659685863871,0.99607329842931935,0.99869109947643975,0.91099476439790572
Thalassiosira_dirty,0.91527987897125562,0.93948562783661116,0.86081694402420572,0.92889561270801813,0.95007564296520419
Guinardia_striata,0.98372781065088755,0.98372781065088755,0.96893491124260356,0.98372781065088755,0.92455621301775148
clusterflagellate,0.98680738786279687,0.98680738786279687,0.82453825857519791,0.91029023746701843,0.95382585751978888
Laboea,0.99864498644986455,0.99728997289972898,0.99864498644986455,0.99864498644986455,0.89430894308943087
DactFragCerataul,0.47867298578199052,0.72511848341232232,0.27488151658767773,0.61295418641390209,0.8799368088467614
Ephemera,0.98812664907651715,0.98812664907651715,0.97493403693931402,0.98680738786279687,0.91029023746701843
na,0.42679127725856697,0.67289719626168221,0.13084112149532709,0.51713395638629278,0.8909657320872274
Coscinodiscus,0.97970230040595396,0.97834912043301758,0.9621109607577808,0.97834912043301758,0.64276048714479028
Gyrodinium,0.90186125211505919,0.90862944162436543,0.7766497461928934,0.85448392554991537,0.92385786802030456
Ceratium,0.99867197875166003,0.99867197875166003,0.99867197875166003,0.99867197875166003,0.78618857901726424
Euglena,0.96368715083798884,0.96508379888268159,0.86033519553072624,0.94413407821229045,0.96089385474860334
Thalassiosira,0.30819672131147541,0.67540983606557381,0.13770491803278689,0.49180327868852458,0.88196721311475412
Dictyocha,0.9747191011235955,0.9747191011235955,0.973314606741573,0.973314606741573,0.9171348314606742
Myrionecta,0.9750390015600624,0.98127925117004677,0.91419656786271453,0.97035881435257409,0.95319812792511704
Paralia,0.99327956989247312,0.98790322580645162,0.95295698924731187,0.98252688172043012,0.8696236559139785
Corethron,0.98675496688741726,0.98675496688741726,0.93543046357615889,0.97682119205298013,0.94205298013245031
Pyramimonas,0.98893499308437072,0.98755186721991706,0.96542185338865838,0.98478561549100974,0.9225449515905948
Rhizosolenia,0.56269113149847094,0.60856269113149852,0.41284403669724773,0.55963302752293576,0.85626911314984711
dino30,0.09375,0.4375,0.0,0.34375,0.53125
Cylindrotheca,0.9261744966442953,0.93288590604026844,0.71812080536912748,0.88590604026845643,0.87919463087248317
Dactyliosolen,0.85473684210526313,0.86315789473684212,0.82947368421052636,0.83157894736842108,0.93894736842105264
Ditylum,0.98511904761904767,0.98511904761904767,0.94494047619047616,0.97470238095238093,0.88988095238095233
Licmophora,0.99602122015915118,0.99336870026525204,0.98673740053050396,0.99469496021220161,0.8381962864721485
Dinobryon,0.99102333931777375,0.99102333931777375,0.98563734290843807,0.98563734290843807,0.94793536804308798
detritus,,,,,
bad,0.91251885369532426,0.92156862745098034,0.62594268476621417,0.79487179487179482,0.9321266968325792
Guinardia,0.6871345029239766,0.76023391812865493,0.49415204678362573,0.6871345029239766,0.89181286549707606
Pleurosigma,0.9859550561797753,0.9845505617977528,0.98735955056179781,0.98735955056179781,0.9353932584269663
Phaeocystis,1.0,1.0,1.0,1.0,0.8960674157303371
Pseudonitzschia,0.7846153846153846,0.8087912087912088,0.54725274725274731,0.67912087912087915,0.90329670329670331
Prorocentrum,0.95510835913312697,0.9504643962848297,0.90092879256965941,0.94427244582043346,0.94427244582043346
Odontella,1.0,0.99869109947643975,1.0,1.0,0.8965968586387435
Asterionellopsis,0.90977443609022557,0.9112781954887218,0.78195488721804507,0.87969924812030076,0.95187969924812033
Dinophysis,0.9604221635883905,0.95514511873350927,0.82321899736147752,0.88786279683377312,0.88258575197889177
