Class,CC,AC,PCC,PAC,HDy
Asterionellopsis,0.00166871650915,0.00119170167706,0.0022174937091,0.00203980408592,0.0014412479519
Cerataulina,0.00620819542489,0.00492700855626,0.00746014919074,0.00588546219694,0.00438479201721
Ceratium,4.76193944673e-05,6.28177196786e-05,5.28843609425e-05,3.61435172911e-05,0.000780983015016
Chaetoceros,0.0210387256622,0.00872217228445,0.0328274150499,0.0114454442566,0.00665256783353
Corethron,0.00063098152635,0.000657223456862,0.000837798729678,0.000537924823021,0.000831095554023
Coscinodiscus,0.000151903619023,0.000121002805817,0.000362631517699,0.000194928435335,0.00199104520902
Cylindrotheca,0.00241397958795,0.00379154978825,0.0026961454722,0.00213631466927,0.00301418994777
DactFragCerataul,0.0167371697019,0.00586460761438,0.0193842172023,0.0119690956321,0.00610598114763
Dactyliosolen,0.00168595806562,0.00129394533407,0.0021236160335,0.00191226048435,0.00215055282088
Dictyocha,0.000393252513152,0.000289885247685,0.000839447809449,0.00061043827602,0.000564494425912
Dinobryon,0.000695470726533,0.00090720942405,0.000928060715206,0.000648632285591,0.000929913287247
Dinophysis,0.000601302431096,0.000623098965667,0.00121429663876,0.00104255634233,0.0011218312075
Ditylum,0.000407367641405,0.0004077006957,0.000612371883589,0.000365936146063,0.000657144984513
Ephemera,0.000279311149783,0.000202821077799,0.000659020897515,0.000507499388395,0.000733725756651
Eucampia,0.000456170757812,0.000311104982712,0.000895831491215,0.000635494083684,0.000517729528882
Euglena,0.00113321256746,0.000545899912731,0.00173570128436,0.000989846682084,0.000496087001499
Guinardia,0.00591291699977,0.00524442916131,0.00663840101418,0.00505734153431,0.00428036736629
Guinardia_flaccida,0.000266318245319,0.000190371182061,0.000511665972177,0.000315170796065,0.00094634461239
Guinardia_striata,0.000538830060461,0.000547146463315,0.000771780650872,0.000560494139962,0.000879174957816
Gyrodinium,0.00142120751398,0.000752126489386,0.00168116434554,0.00112131399483,0.001387931487
Laboea,0.000122404316152,0.000114868172047,0.000308450537011,0.000141084641681,0.000743071193527
Lauderia,1.50435653931e-05,2.16908291206e-05,2.73347431737e-05,2.87448614847e-05,0.000454247804716
Leptocylindrus,0.020593673207,0.0244428645759,0.0214358198862,0.0187208634244,0.016300590497
Licmophora,0.000134372898816,0.000113067951964,0.000451510221177,0.000213086735821,0.000308687017069
Myrionecta,0.00104930698312,0.000574798974563,0.00155065386511,0.000837382404964,0.000726056874111
Odontella,1.32093253103e-05,1.24704430377e-05,0.000344938963704,8.9872991737e-05,0.00265897681167
Paralia,0.000364716489445,0.000206280430508,0.00102707864672,0.0007554507051,0.000512433336269
Phaeocystis,0.000226499819994,0.000226615096531,0.000275050993737,0.000249068760113,0.000476654323905
Pleurosigma,0.000132706589603,0.000159567720807,0.000298722983784,0.000144519648347,0.000550010392161
Prorocentrum,0.00106967669974,0.00087195169182,0.00149106639772,0.0014204519307,0.00111125986846
Pseudonitzschia,0.00518398844029,0.00268534977774,0.00539060358957,0.00355795641645,0.00309780721248
Pyramimonas,0.000538814262771,0.000392427287679,0.00100514040128,0.000746695046714,0.000453822477256
Rhizosolenia,0.00971845354932,0.00751074605703,0.00993173422999,0.00859216046806,0.00723968075084
Skeletonema,0.0112814045862,0.00748230573455,0.0117165798605,0.0108636764199,0.00905181356826
Stephanopyxis,2.08015355549e-05,0.434077166008,0.000507976438201,0.000170673202706,0.00117507184268
Thalassionema,0.000220167766188,0.000269763464902,0.000415031417295,0.000254837769404,0.000645820900927
Thalassiosira,0.0211443666158,0.00542838324436,0.0236831695964,0.0102119264394,0.00738762657914
Thalassiosira_dirty,0.00228986112088,0.0010668979412,0.00268258695546,0.00156506168279,0.00126262380353
bad,0.00339611983214,0.00311284563523,0.00570628566359,0.00473292124074,0.00224549993297
ciliate_mix,0.00352537981145,0.00271118067038,0.00444882295691,0.00340515279502,0.00282557699518
clusterflagellate,0.000820242460981,0.000486664713072,0.00118704735103,0.000803523207658,0.000419792219362
detritus,0.0411116781271,0.0661448724044,0.0468949043981,0.050962616298,0.051786669957
dino30,0.0288432407533,0.0110122552658,0.0340634474738,0.015219308362,0.0106095794278
kiteflagellates,0.000215324337242,0.000137227256993,0.000586260155004,0.000364012649447,0.000314070168841
mix,0.234081880302,0.374290695358,0.285986326118,0.128815661344,0.097152790235
mix_elongated,0.0403787294526,0.0141864719983,0.0426356245413,0.0251536608778,0.0222961701693
na,0.0406006217207,0.0160809549931,0.0473301125124,0.0311633699578,0.0172154807239
pennate,0.0139379915158,0.00678456160204,0.0144867684936,0.0116938906501,0.008225260656
tintinnid,0.00024368481391,0.000204681547742,0.000462883697394,0.000305272056722,0.000870027314879
