Class,CC,AC,PCC,PAC,HDy
Asterionellopsis,8.35921415883,5.72037345183,11.4568649719,9.68475605971,5.56722199626
Cerataulina,13.3919935127,3.63125765827,18.1662549801,9.43402957703,4.15231227721
Ceratium,0.94364134698,0.960425522665,0.961011694584,0.930235933226,5.86240826323
Chaetoceros,16.8884641442,2.46498349716,27.079123696,7.36644582918,1.91747309046
Corethron,2.51282502736,1.35233137825,3.90041741916,2.04678874345,2.02802099733
Coscinodiscus,1.69246371431,1.42899586195,3.19422725467,1.98148260868,14.5344393306
Cylindrotheca,1.04045745865,0.847451756533,1.56347947041,1.071679502,1.44321813246
DactFragCerataul,82.7857754145,28.3501862649,96.7806639263,58.5249777798,28.1442302873
Dactyliosolen,5.12144996398,2.54071577128,7.1847853877,5.20019934692,3.89705973101
Dictyocha,2.77436093175,1.83318736564,5.63540395503,4.08761898557,2.79613336002
Dinobryon,1.34029221961,0.988736867234,2.84949577473,1.32629196266,1.89843511412
Dinophysis,4.90753223886,4.92243658964,9.15041400324,7.81969165683,8.28734558783
Ditylum,1.66394400723,1.26846209435,3.06008521999,1.71939341837,2.60812884999
Ephemera,2.61902500691,2.09193895968,5.07945160804,3.99969629328,5.53286598509
Eucampia,3.14616822029,2.06952261117,6.15241679049,4.21836835766,3.03204349695
Euglena,7.2041318918,3.04391615323,11.1697769708,6.15045578109,2.46862154371
Guinardia,9.28943247765,3.26557453522,10.927139722,6.08375694647,3.74992799747
Guinardia_flaccida,2.28518035322,1.6782203213,3.95375460769,2.64277669809,6.30333243313
Guinardia_striata,1.71734838918,1.35384329805,3.44317277682,2.10447477047,3.15494330139
Gyrodinium,6.81501769233,3.09038691014,8.15364129849,5.11632252034,4.18985095193
Laboea,1.49273283832,1.30387948015,2.83177146325,1.64172167816,5.44083905339
Lauderia,1.04193640554,1.09360552283,1.13184574525,1.14435831065,4.19888899628
Leptocylindrus,9.45463777617,2.47498513682,9.59511503419,4.04013763924,2.42006569318
Licmophora,1.72543476655,1.5379733501,3.96982832584,2.28648784863,2.78477297723
Myrionecta,4.77798684379,1.56937362707,7.0912395294,2.95974403894,1.88740093324
Odontella,1.06117316692,1.05522305002,3.45510736989,1.61532502936,20.1067690179
Paralia,3.06296184102,2.03957605233,7.33914997722,5.43915595716,3.87285302614
Phaeocystis,1.21211586455,1.21245899829,1.61167745713,1.49173841906,2.90025592826
Pleurosigma,1.17006141698,1.09848573504,2.36278699394,1.33977858548,3.1398918638
Prorocentrum,5.0860339994,3.64879043448,7.3576212013,6.73979992888,3.95246587717
Pseudonitzschia,13.7319222447,3.95758005787,14.6284254829,6.7658192105,5.48479274544
Pyramimonas,3.90192541776,2.72039567374,7.13732681957,5.35403174202,2.80806853213
Rhizosolenia,17.3872065984,6.40616175772,17.1986705904,11.4842969128,11.9681772863
Skeletonema,27.8115807243,16.6648512847,29.183606368,25.8027072535,20.1965126589
Stephanopyxis,1.12763670209,3104.3906421,4.63137914545,2.20402561576,9.43773199865
Thalassionema,1.29289444603,0.993615753653,2.56841605721,1.24015832662,2.57731713876
Thalassiosira,35.4535815865,6.48795657621,39.7870722813,12.7222803329,7.90807909094
Thalassiosira_dirty,8.76033522453,2.62607444233,11.0207572065,4.29762322227,3.05197813911
bad,8.52587866632,2.95930290152,23.7140468432,19.2035439606,2.03609821006
ciliate_mix,3.21216746649,1.10422904563,4.24506083531,1.88208605224,1.36564954608
clusterflagellate,6.67065072087,4.2717318021,9.28219104856,6.53086301016,3.81453369271
detritus,0.669478531313,0.737137181086,0.837584501316,0.738839165021,0.764362898008
dino30,9.26709436634,1.55495221556,11.1228394538,3.07540250557,1.60360273574
kiteflagellates,2.21524810198,1.60468044175,4.89723428266,3.26047280303,2.80392099748
mix,0.339387311186,0.52424499144,0.408449395868,0.203063477173,0.153681457009
mix_elongated,11.1786061977,1.80050974547,13.2542079871,3.64234251893,2.671295147
na,61.2122534287,21.6183740427,73.7903276915,43.9466292192,19.6872464094
pennate,27.2413528532,12.9619688464,28.6475004648,22.0778976752,14.3305074222
tintinnid,1.66282992769,1.2688236438,3.15127543774,1.93250430775,5.06108946283
