,CC,AC,PCC,PAC,HDy
Asterionellopsis,0.46165413533834587,0.67669172932330823,0.27067669172932329,0.50526315789473686,0.86917293233082704
bad,0.56259426847662142,0.91101055806938158,0.2277526395173454,0.55052790346907998,0.9773755656108597
Cerataulina,0.20000000000000001,0.77471264367816095,0.10804597701149425,0.59999999999999998,0.8413793103448276
Ceratium,0.99867197875166003,0.99867197875166003,0.99867197875166003,0.99867197875166003,0.93891102257636128
Chaetoceros,0.0,0.82539682539682535,0.0,0.65873015873015872,0.88888888888888884
ciliate_mix,0.13157894736842105,0.88947368421052631,0.063157894736842107,0.82631578947368423,0.95789473684210524
clusterflagellate,0.77968337730870707,0.8970976253298153,0.68337730870712399,0.82058047493403696,0.95118733509234832
Corethron,0.89403973509933776,0.97847682119205293,0.79139072847682124,0.9056291390728477,0.9701986754966887
Coscinodiscus,0.97023004059539919,0.97970230040595396,0.9621109607577808,0.96346414073071718,0.89174560216508791
Cylindrotheca,0.57046979865771807,0.89261744966442957,0.22818791946308725,0.67114093959731547,0.93959731543624159
DactFragCerataul,0.050552922590837282,0.6018957345971564,0.02843601895734597,0.49131121642969983,0.71721958925750395
Dactyliosolen,0.51157894736842102,0.84842105263157896,0.30105263157894735,0.59999999999999998,0.90315789473684216
detritus,,,,,
Dictyocha,0.9044943820224719,0.952247191011236,0.699438202247191,0.8061797752808989,0.9550561797752809
dino30,0.0,0.90625,0.0,0.75,0.875
Dinobryon,0.97845601436265706,0.99461400359066432,0.84560143626570916,0.93895870736086173,0.97127468581687615
Dinophysis,0.84828496042216361,0.85883905013192607,0.68073878627968343,0.76517150395778366,0.88390501319261217
Ditylum,0.94345238095238093,0.97470238095238093,0.89136904761904767,0.91220238095238093,0.9642857142857143
Ephemera,0.9366754617414248,0.95910290237467022,0.82453825857519791,0.85488126649076512,0.9287598944591029
Eucampia,0.90858725761772852,0.95706371191135731,0.68282548476454297,0.80193905817174516,0.96121883656509699
Euglena,0.59078212290502796,0.88547486033519551,0.29329608938547486,0.69413407821229045,0.96787709497206709
Guinardia,0.13742690058479531,0.783625730994152,0.076023391812865493,0.67543859649122806,0.86549707602339176
Guinardia_flaccida,0.93646408839779005,0.96685082872928174,0.89779005524861877,0.91160220994475138,0.93922651933701662
Guinardia_striata,0.97928994082840237,0.98224852071005919,0.9349112426035503,0.96153846153846156,0.95562130177514792
Gyrodinium,0.40947546531302875,0.79695431472081213,0.27072758037225042,0.65820642978003385,0.90524534686971236
kiteflagellates,0.97184986595174261,0.98391420911528149,0.83512064343163539,0.86997319034852549,0.96246648793565681
Laboea,0.98373983739837401,0.98915989159891604,0.97560975609756095,0.97696476964769652,0.95257452574525747
Lauderia,1.0,0.99868593955321949,1.0,1.0,0.94480946123521681
Leptocylindrus,0.023076923076923078,0.87692307692307692,0.0,0.81538461538461537,0.91538461538461535
Licmophora,0.98541114058355439,0.98408488063660482,0.96021220159151188,0.96684350132625996,0.96551724137931039
mix,,,,,
mix_elongated,0.0,0.90625,0.0,0.75,0.890625
Myrionecta,0.56006240249609984,0.93291731669266775,0.34321372854914195,0.78315132605304216,0.97347893915756634
na,0.0031152647975077881,0.61370716510903423,0.0,0.52647975077881615,0.6199376947040498
Odontella,1.0,1.0,0.98691099476439792,0.99738219895287961,0.89921465968586389
Paralia,0.8911290322580645,0.94892473118279574,0.52553763440860213,0.668010752688172,0.95564516129032262
pennate,0.0077120822622107968,0.44215938303341901,0.0025706940874035988,0.34961439588688947,0.50128534704370176
Phaeocystis,0.9971910112359551,0.9957865168539326,0.9985955056179775,0.9985955056179775,0.9578651685393258
Pleurosigma,0.9901685393258427,0.9957865168539326,0.97752808988764039,0.9803370786516854,0.9620786516853933
Prorocentrum,0.70433436532507743,0.81114551083591335,0.48761609907120745,0.5975232198142415,0.92569659442724461
Pseudonitzschia,0.17802197802197803,0.85274725274725272,0.11648351648351649,0.76703296703296708,0.8813186813186813
Pyramimonas,0.86998616874135548,0.92531120331950212,0.6431535269709544,0.75933609958506221,0.9612724757952974
Rhizosolenia,0.11926605504587157,0.74617737003058104,0.10397553516819572,0.68807339449541283,0.69113149847094801
Skeletonema,0.036912751677852351,0.54026845637583898,0.010067114093959731,0.48657718120805371,0.58389261744966447
Stephanopyxis,0.99869109947643975,0.060209424083769635,0.86256544502617805,0.95157068062827221,0.90837696335078533
Thalassionema,0.95958083832335328,0.9880239520958084,0.9086826347305389,0.95508982035928147,0.9640718562874252
Thalassiosira,0.0032786885245901639,0.72131147540983609,0.0,0.61639344262295082,0.77377049180327873
Thalassiosira_dirty,0.53706505295007567,0.90771558245083206,0.38275340393343421,0.86686838124054466,0.9364599092284418
tintinnid,0.95345557122708036,0.97884344146685476,0.89280677009873055,0.90691114245416082,0.93229901269393511
