Class,CC,AC,PCC,PAC,HDy
Asterionellopsis,0.00569715007574,0.00431602096506,0.0062169759019,0.0039824116674,0.00268199188488
Cerataulina,0.00892507917593,0.00619702735605,0.00950317652328,0.0069734450063,0.00598038412561
Ceratium,9.72746038839e-05,9.48171461973e-05,0.000336653412347,0.000195305996796,0.000477505456548
Chaetoceros,0.0334277319967,0.0136261975878,0.0476631753325,0.0144467508983,0.0110565313841
Corethron,0.00752800684804,0.00391552272839,0.00775757604836,0.00389728657571,0.00290715162714
Coscinodiscus,0.000242288542092,0.000260911887063,0.000459788091827,0.000299080095386,0.000903288184413
Cylindrotheca,0.00581357474598,0.00632570126963,0.00618360353069,0.00681936552344,0.00560492858957
DactFragCerataul,0.0192363726851,0.0075183637854,0.021146363076,0.00771006302429,0.00568326819625
Dactyliosolen,0.00726401402013,0.00603018531216,0.00838149217071,0.00653933996047,0.00462652505436
Dictyocha,0.00207170997055,0.00149796329299,0.00269937623356,0.0018359270311,0.00128188887276
Dinobryon,0.0027721996339,0.00185169298976,0.00329679901371,0.00215958552862,0.00144320923436
Dinophysis,0.00180957036139,0.00154436197727,0.00210028611607,0.00101353445263,0.000903147973741
Ditylum,0.000790967569515,0.00061118811597,0.0012077397482,0.000733147261856,0.000687885567959
Ephemera,0.000398806874663,0.000229240097671,0.000666174105517,0.000286929454242,0.000349988683113
Eucampia,0.00299317047608,0.00252846237162,0.00342476763266,0.00212637937865,0.00196310634021
Euglena,0.00176274034817,0.000460330616223,0.00205204409481,0.000506409977526,0.000432592517958
Guinardia,0.00621729854478,0.00508892539378,0.00690490169234,0.00522090121472,0.00434699811779
Guinardia_flaccida,0.00045571422895,0.000348726310747,0.000712693950697,0.000386900818036,0.000440281420463
Guinardia_striata,0.00125634911586,0.000864365766955,0.001722403173,0.000988109442725,0.000916634504598
Gyrodinium,0.00337304705591,0.00250067118473,0.00354969115047,0.00243847656008,0.0028764847883
Laboea,0.000201880731195,0.000184607393675,0.000399614063584,0.000228155070442,0.000423440104872
Lauderia,0.000222281005914,0.000761267983731,0.000219148099302,0.000352660720959,0.000683211820646
Leptocylindrus,0.0217765759054,0.0184051084603,0.0228173346207,0.018729686454,0.0162928960204
Licmophora,0.00036103554056,0.000245121311589,0.000828819853438,0.000506323965449,0.000946887470648
Myrionecta,0.00655935503976,0.00259097474533,0.00703987354036,0.00263611598673,0.00233582984243
Odontella,6.79798541236e-05,0.000112585274481,0.000284903295257,0.000110028562321,0.000533789458233
Paralia,0.00225204998546,0.00175720746017,0.00265880514051,0.00163301765076,0.000993735086959
Phaeocystis,0.00136205111299,0.00203525727397,0.00186752582167,0.00174232990909,0.000694456273289
Pleurosigma,0.000242659274171,0.000240211622813,0.000525438100276,0.000323147137031,0.000529737380943
Prorocentrum,0.00153769261998,0.00109186438093,0.0019367330142,0.00118422745683,0.000915477578559
Pseudonitzschia,0.00693736906296,0.00283019639139,0.00708887099467,0.00327009792889,0.00281359061646
Pyramimonas,0.00244904070882,0.00154205488237,0.00277149401554,0.00143301077728,0.00107488274762
Rhizosolenia,0.00822060584536,0.00614990454279,0.00906023307059,0.00708025660755,0.0050444889583
Skeletonema,0.0272943423006,0.0229312746994,0.0298860790912,0.0240808974095,0.0188159851432
Stephanopyxis,3.75070470598e-05,5.13030661227e-05,0.000355702714912,0.000147167788561,0.000671271385663
Thalassionema,0.00102515538331,0.000555170364332,0.00140493277202,0.00067995427522,0.000535457381345
Thalassiosira,0.0210934292291,0.00754918678974,0.0223739109748,0.00759758214147,0.00708149852138
Thalassiosira_dirty,0.0048697086644,0.00250434092601,0.00507474207883,0.00264363581391,0.00212234614445
bad,0.0148345417963,0.0162008399848,0.0167587024516,0.0182395951006,0.0118246989767
ciliate_mix,0.014875576075,0.00711254148225,0.0152781797612,0.00691530094729,0.00602816481491
clusterflagellate,0.00803316081824,0.00677113911632,0.00832637397345,0.00500422860451,0.00389941272435
detritus,0.0555908586541,0.0652579244902,0.0624675279295,0.0723787493492,0.0652649898213
dino30,0.0148895315229,0.0128983144551,0.0180868930286,0.0133749140793,0.0117415370667
kiteflagellates,0.00143499495072,0.00162620995724,0.00228298761044,0.00258229561596,0.000628992971834
mix,0.313564303169,0.12962896469,0.36562763782,0.140858734269,0.116901954273
mix_elongated,0.0305750378719,0.0177423819329,0.0326223996085,0.0192046161586,0.018547590982
na,0.0484274252698,0.012558461334,0.0519275716352,0.0124855931754,0.0132088767403
pennate,0.0101970641885,0.00304176216887,0.0111035307007,0.00369738790026,0.00302931637142
tintinnid,0.000871177790673,0.000609399555761,0.00117940143541,0.000665388187939,0.000783197817688
