Class,CC,AC,PCC,PAC,HDy
Asterionellopsis,29.7639812527,20.7016470566,32.5349295185,19.272897642,12.3626266015
Cerataulina,20.8760303252,5.75455228935,23.319742245,8.18205245987,5.04048923497
Ceratium,1.27034037618,1.25756214062,2.92461554388,1.87792311017,3.69365196343
Chaetoceros,24.6802071736,4.9626859191,38.1334794293,5.09291330181,3.77561084582
Corethron,34.9046926574,13.2358901365,36.6688565183,13.5961487164,9.36752691225
Coscinodiscus,2.3375922168,2.32820793568,3.85818909383,2.60088575337,6.63853274433
Cylindrotheca,4.00683316481,3.18565718461,4.33529004937,3.4290359493,2.67373069847
DactFragCerataul,94.3654664406,32.5135198809,104.966223826,33.7202056614,24.4201701296
Dactyliosolen,24.398691245,16.6271588052,28.5937948593,18.4151854207,11.771541298
Dictyocha,12.7772509198,8.80975153815,16.5616011752,10.9080556775,7.00338280098
Dinobryon,13.2743834485,6.28018738169,16.0962504479,7.86837104467,3.78462307547
Dinophysis,13.2360886747,11.1826105823,15.2280484549,7.57698861061,6.87659645068
Ditylum,3.77263156374,2.33258607949,6.00381268955,2.76693762365,2.51186145208
Ephemera,3.42056533143,2.11312668135,5.12021262629,2.47779779538,2.9154074314
Eucampia,19.1950567895,15.3989759932,21.9824087474,13.1379053548,11.8793619424
Euglena,11.1912541448,2.56069654777,13.0393423043,2.93207492377,1.92615198282
Guinardia,7.58624993903,2.89715896909,9.39206333791,3.18156443079,2.27518443021
Guinardia_flaccida,3.53830565121,2.66050396107,5.17592518694,2.94610874649,2.9584878519
Guinardia_striata,6.17461876584,3.39743392533,8.77948864784,3.99224232346,3.22791471464
Gyrodinium,14.4649994619,9.45028626069,15.2678004093,9.18741355893,10.0066945882
Laboea,1.95512072111,1.86501815728,3.33935790719,2.1571428078,3.25025234426
Lauderia,2.5454942733,6.42054805295,2.52210830489,3.48741528697,5.84742991098
Leptocylindrus,11.0293571061,6.33535316497,10.6583584768,6.52175493433,3.60210370314
Licmophora,3.30540932018,2.38379285185,6.56378181963,4.19219556887,7.18977517983
Myrionecta,25.1451400162,7.70959810555,27.1064291508,7.68552610121,6.87606339626
Odontella,1.44695069585,1.75236437794,3.01869141802,1.74771226655,4.80542007318
Paralia,13.8597735485,9.66627666805,16.4536933191,9.17419897399,5.85929128633
Phaeocystis,9.33686930453,13.5676119975,12.8032166047,11.7069085395,4.23180666008
Pleurosigma,1.83081033775,1.53940498631,3.58184157865,2.00276830606,3.06597281505
Prorocentrum,7.95868063673,4.99525841299,9.95672936306,5.42394324629,3.11101312671
Pseudonitzschia,16.4667056044,2.70656534169,17.2469833424,3.37593587287,2.8464355823
Pyramimonas,17.0640879155,10.7558116289,19.2067708744,9.96555397927,7.12935814662
Rhizosolenia,13.9781537831,5.11197910554,15.0472397429,6.27177140049,5.16694726643
Skeletonema,63.7452349853,57.0897658044,68.0354290573,57.3612661551,47.2368294539
Stephanopyxis,1.25023844601,1.34410656113,3.54708278275,2.03925762464,5.81036870814
Thalassionema,5.24330246863,2.15148977382,7.03626754546,2.53079527082,1.82283633692
Thalassiosira,32.4114371976,6.59285218063,34.9948996062,6.12654148618,6.66948190817
Thalassiosira_dirty,19.7783651202,6.67708434745,21.3338797971,7.26167998412,5.80020893899
bad,77.4874399342,87.5691003669,88.012863339,98.5207496304,63.7828691696
ciliate_mix,14.0235166778,4.22060610374,14.9711775412,4.04807197859,3.72799832877
clusterflagellate,57.3274650144,48.5094895893,59.3600773706,36.0982227527,28.3557951113
detritus,0.864942360897,0.896593509041,1.06543623031,1.00552631723,0.897935401146
dino30,5.03916954478,1.22148994306,6.42374355854,1.26004136097,0.950715749728
kiteflagellates,10.9815154059,12.3110142599,17.0304081813,19.1350812221,5.06783806735
mix,0.448044453927,0.20454402036,0.51663691173,0.221408010515,0.183318545011
mix_elongated,9.48734562596,1.69935211973,11.1295255719,1.79771773465,1.74191493616
na,71.9197552616,11.0321424803,80.570128663,10.5330004119,10.4763147025
pennate,18.2834417881,2.90475559987,20.7719541884,4.28330882404,3.25183635114
tintinnid,4.78243382979,2.6183691809,6.59318250165,2.90486124465,3.10748286386
