,CC,AC,PCC,PAC,HDy
Asterionellopsis,0.036090225563909777,0.53834586466165413,0.010526315789473684,0.53082706766917298,0.77593984962406015
bad,0.28657616892911009,0.7073906485671192,0.095022624434389136,0.55354449472096534,0.87782805429864252
Cerataulina,0.167816091954023,0.8298850574712644,0.11494252873563218,0.75862068965517238,0.84597701149425286
Ceratium,0.99734395750332006,0.99601593625498008,0.97742363877822047,0.98273572377158036,0.95617529880478092
Chaetoceros,0.0,0.83333333333333337,0.0,0.83333333333333337,0.80952380952380953
ciliate_mix,0.021052631578947368,0.86842105263157898,0.0,0.88947368421052631,0.87894736842105259
clusterflagellate,0.17150395778364116,0.66226912928759896,0.13984168865435356,0.64775725593667544,0.75329815303430081
Corethron,0.057947019867549666,0.78807947019867552,0.033112582781456956,0.77649006622516559,0.86092715231788075
Coscinodiscus,0.94857916102841677,0.93234100135317999,0.9161028416779432,0.93504736129905275,0.94857916102841677
Cylindrotheca,0.22818791946308725,0.72483221476510062,0.18791946308724833,0.6912751677852349,0.77852348993288589
DactFragCerataul,0.0094786729857819912,0.72985781990521326,0.0015797788309636651,0.69510268562401267,0.77251184834123221
Dactyliosolen,0.040000000000000001,0.5178947368421053,0.016842105263157894,0.47789473684210526,0.72210526315789469
detritus,,,,,
Dictyocha,0.44241573033707865,0.7710674157303371,0.3539325842696629,0.73735955056179781,0.8665730337078652
dino30,0.03125,0.875,0.0,0.8125,1.0
Dinobryon,0.15978456014362658,0.74865350089766602,0.080789946140035901,0.67324955116696594,0.92280071813285458
Dinophysis,0.51319261213720313,0.80870712401055411,0.45646437994722955,0.81662269129287601,0.89577836411609502
Ditylum,0.77976190476190477,0.875,0.55952380952380953,0.83630952380952384,0.9598214285714286
Ephemera,0.89182058047493407,0.93799472295514508,0.76781002638522422,0.90897097625329815,0.96701846965699212
Eucampia,0.25623268698060941,0.66481994459833793,0.1523545706371191,0.64404432132963985,0.81440443213296398
Euglena,0.37849162011173182,0.93575418994413406,0.28212290502793297,0.92178770949720668,0.97765363128491622
Guinardia,0.14619883040935672,0.91520467836257313,0.049707602339181284,0.88011695906432752,0.93567251461988299
Guinardia_flaccida,0.85911602209944748,0.88674033149171272,0.74861878453038677,0.86187845303867405,0.95994475138121549
Guinardia_striata,0.57544378698224852,0.83727810650887569,0.378698224852071,0.78106508875739644,0.93934911242603547
Gyrodinium,0.21489001692047377,0.77495769881556686,0.16920473773265651,0.77495769881556686,0.88324873096446699
kiteflagellates,0.6487935656836461,0.71715817694369977,0.57372654155495983,0.67828418230563003,0.93029490616621979
Laboea,0.96747967479674801,0.94986449864498645,0.92682926829268297,0.92818428184281843,0.96205962059620598
Lauderia,0.95006570302233906,0.8764783180026281,0.95269382391590018,0.92509855453350853,0.91984231274638628
Leptocylindrus,0.046153846153846156,0.7846153846153846,0.015384615384615385,0.74615384615384617,0.85384615384615381
Licmophora,0.91644562334217505,0.92572944297082227,0.66976127320954904,0.82228116710875332,0.90716180371352784
mix,,,,,
mix_elongated,0.0,0.953125,0.0,0.9375,0.921875
Myrionecta,0.046801872074882997,0.84867394695787834,0.021840873634945399,0.84867394695787834,0.88143525741029638
na,0.0,0.90031152647975077,0.0,0.90031152647975077,0.90031152647975077
Odontella,0.99083769633507857,0.97774869109947649,0.99214659685863871,0.98036649214659688,0.94109947643979053
Paralia,0.36559139784946237,0.75672043010752688,0.26209677419354838,0.75672043010752688,0.89247311827956988
pennate,0.0,0.89974293059125965,0.0,0.84575835475578409,0.8946015424164524
Phaeocystis,0.5617977528089888,0.6278089887640449,0.38764044943820225,0.6081460674157303,0.9311797752808989
Pleurosigma,0.9662921348314607,0.9634831460674157,0.848314606741573,0.9171348314606742,0.9648876404494382
Prorocentrum,0.37461300309597523,0.75232198142414863,0.21207430340557276,0.73529411764705888,0.94891640866873062
Pseudonitzschia,0.096703296703296707,0.94505494505494503,0.074725274725274723,0.92087912087912083,0.94065934065934065
Pyramimonas,0.24481327800829875,0.72060857538035961,0.17980636237897649,0.71784232365145229,0.88381742738589208
Rhizosolenia,0.10091743119266056,0.85626911314984711,0.048929663608562692,0.84709480122324154,0.82262996941896027
Skeletonema,0.0067114093959731542,0.52684563758389258,0.0,0.50671140939597314,0.52013422818791943
Stephanopyxis,0.99738219895287961,0.98560209424083767,0.99476439790575921,0.98036649214659688,0.93324607329842935
Thalassionema,0.57035928143712578,0.88323353293413176,0.41167664670658682,0.86227544910179643,0.97904191616766467
Thalassiosira,0.0032786885245901639,0.85901639344262293,0.0032786885245901639,0.85901639344262293,0.83934426229508197
Thalassiosira_dirty,0.19818456883509833,0.90771558245083206,0.14523449319213314,0.89561270801815429,0.92586989409984877
tintinnid,0.71509167842031029,0.89139633286318753,0.54724964739069115,0.86459802538787023,0.93794076163610718
