,AutoClass
0,0.000881057268722467
1,0.000394632991318074
2,0.00106458481192335
3,0.000625390869293308
4,0.000367376928728876
5,0
6,0
7,0
8,0
9,0
10,0.00234192037470726
11,0.00114613180515759
12,0.000851788756388416
13,0.00356824264049955
14,0
15,0.00178571428571429
16,0.00154320987654321
17,0.0037593984962406
18,0.0173574211831385
19,0.0200371057513915
20,0.0135823429541596
21,0.0261243386243386
22,0.0293742017879949
23,0.0246753246753247
24,0.0344514959202176
25,0.0334448160535117
26,0.0257116620752984
27,0.0124062319676861
28,0.0137062937062937
29,0.0515004055150041
30,0.0514233241505969
31,0.0201342281879195
32,0.0213380751278062
33,0.0164175962955167
34,0.00928421683138664
35,0.0118651124063281
36,0.0109546165884194
37,0.0123597642137288
38,0.0117023221795575
39,0.00718347800059862
40,0.00309597523219814
41,0.00199880071956826
42,0.0012242399510304
43,0.00129842025535598
44,0.00229885057471264
45,0.00173410404624277
46,0.00296017222820237
47,0.00259268861809697
48,0.00114220445459737
49,0.035538005923001
50,0.0308494460134695
51,0.0197628458498024
52,0.0320956576463184
53,0.0168115942028986
54,0.0236559139784946
55,0.0272452068617558
56,0.0241125251172137
57,0.018109269490485
58,0.004739336492891
59,0.00892857142857143
60,0.0068207654414551
61,0.00302724520686176
62,0.00763052208835341
63,0.0110381861575179
64,0.0106316447779862
65,0.00714924039320822
66,0.00199058993847267
67,0.000741564701520208
68,0.000941796948577887
69,0.000770119368502118
70,0.00152033447358419
71,0.00225733634311512
72,0.0018462571332662
73,0.00246872942725477
74,0.00163692912096906
75,0.00279524807826695
76,0.00289330922242315
77,0.00239071038251366
78,0.00246132208157525
79,0.00246045694200351
80,0.00139082058414465
81,0.00344234079173838
82,0.004359197907585
83,0.00175849941383353
84,0.00120481927710843
85,0.00182149362477231
86,0
87,0.00242836328314716
88,0.00181488203266788
89,0.00162074554294976
90,0
91,0.000819000819000819
92,0.00206100577081616
93,0.00159808230123851
94,0.000604229607250755
95,0.00101781170483461
96,0.00107411385606874
97,0.00235294117647059
98,0.00169995750106247
99,0
100,0.000542888165038002
101,0
102,0.0010124873439082
103,0.00408035153797866
104,0.00277008310249307
105,0.000315258511979823
