,AutoClass
0,0.000440528634361233
1,0
2,0
3,0.000312695434646654
4,0
5,0
6,0.000255754475703325
7,0.000176803394625177
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0.000330687830687831
22,0
23,0
24,0
25,0
26,0.000306091215182124
27,0
28,0
29,0
30,0.000459136822773186
31,0.000231427910205971
32,0
33,0.000210482003788676
34,0.000299490865528601
35,0.000208159866777685
36,0.000195618153364632
37,0
38,0.000182848784055586
39,0.000299311583358276
40,0
41,0
42,0
43,0
44,0.000328407224958949
45,0.000578034682080925
46,0.000538213132400431
47,0
48,0.00114220445459737
49,0.000493583415597236
50,0.00173799695850532
51,0.00208029956313709
52,0.00188797986154814
53,0.00115942028985507
54,0.000716845878136201
55,0.00100908173562059
56,0
57,0.000613873542050338
58,0
59,0
60,0.000757862826828344
61,0
62,0.000401606425702811
63,0.000298329355608592
64,0.000312695434646654
65,0
66,0.000542888165038002
67,0.00148312940304042
68,0.000941796948577887
69,0.000385059684251059
70,0.000190041809198024
71,0.000376222723852521
72,0.000503524672708963
73,0.000658327847267939
74,0
75,0.000349406009783368
76,0.000723327305605787
77,0.00204918032786885
78,0
79,0.00070298769771529
80,0.00185442744552619
81,0.00344234079173838
82,0.0004359197907585
83,0
84,0
85,0.000607164541590771
86,0.0025419420437214
87,0.0014570179698883
88,0.000604960677555959
89,0.00108049702863317
90,0.000543478260869565
91,0.000819000819000819
92,0.00123660346248969
93,0.00119856172592889
94,0.00120845921450151
95,0.00101781170483461
96,0.00268528464017186
97,0.00235294117647059
98,0.00212494687632809
99,0.00546448087431694
100,0.00271444082519001
101,0.00122249388753056
102,0.00168747890651367
103,0.0034526051475204
104,0.00307787011388119
105,0
106,0.000311720698254364
107,0
108,0.000308356460067838
109,0
110,0.000318775900541919
111,0
112,0.00054525627044711
113,0
114,0
115,0.000119047619047619
116,0
117,0
118,0
119,0.000324359390204346
120,0
121,0
122,0.000124968757810547
123,0
124,0.00040263051939337
125,0.000507872016251904
126,0.000245519273262951
127,0
128,0.000139178844815588
129,0
130,0.000119674485399713
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0.0010443864229765
142,0
143,0.00240384615384615
144,0
145,0
146,0
147,0.000941619585687382
148,0.000962463907603465
149,0.000601684717208183
150,0
151,0.000637755102040816
152,0
153,0
154,0
155,0.000932545850170967
156,0.000375234521575985
157,0
158,0.000394944707740916
159,0
160,0
161,0.00019739439399921
162,0
163,0
164,0
165,0.000300480769230769
166,0
167,0
168,0
169,0.000240211386019697
170,0.000392618767177071
171,0
172,0
173,0
174,0
175,0.00137703112090333
176,0.000253421186011151
177,0.000482160077145612
178,0
179,0.000677048070412999
180,0.000445632798573975
181,0
182,0.000145772594752187
183,0
184,0.000425592282593276
185,0
186,0
187,0.000144529556294262
188,0
189,0
190,0
191,0
192,0.000139762403913347
193,0.000150105073551486
194,0
195,0.000290570971959901
196,0
197,0
198,0
199,0
200,0.000710227272727273
201,0
202,0.000486263068319961
203,0.000141843971631206
204,0
205,0
206,0
207,0
208,0.000244498777506112
209,0
210,0.000112905046855594
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0.000387972841901067
219,0.0001953125
220,0
221,0
222,0.000153704272978789
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0.000210748155953635
232,0.000228362639872117
233,0
234,0
235,0.000238151940938319
236,0.000219250164437623
237,0.000207511931936086
238,0.000212359311955829
239,0
240,0.000214776632302405
241,0.000878734622144112
242,0
243,0
244,0.000171969045571797
245,0
246,0
247,0.000136686714051394
248,0.000278280228189787
249,0.000145243282498184
250,0
251,0.00026048450117218
252,0
253,0.000162999185004075
254,0.000163345311989546
255,0.000645577792123951
256,0.00055005500550055
257,0.00125523012552301
258,0
259,0.000333333333333333
260,0.000662690523525514
261,0
262,0.000422029964127453
263,0
264,0.0016359918200409
265,0.00022691173133651
266,0
267,0.000438692695766616
268,0.00106496272630458
269,0.000430570505920344
270,0
271,0
272,0
273,0.000410088168956326
274,0
275,0
276,0
277,0.000732600732600733
278,0
279,0.000293427230046948
280,0
281,0.00151057401812689
282,0
283,0
284,0.000480769230769231
285,0.000935891436593355
286,0
287,0
288,0.00134544231416078
289,0.00211864406779661
290,0.000316656111462951
291,0.0013271400132714
292,0.000349162011173184
293,0
294,0
295,0
296,0
297,0
298,0
299,0.000245218244237371
300,0.000587199060481503
301,0.000286450873675165
302,0.000447761194029851
303,0.000536672629695885
304,0.000386847195357834
305,0.00060108194750551
306,0.000263574064312072
307,0
308,0
309,0.000185735512630015
310,0.000405350628293474
311,0.000411692054343351
312,0
313,0
314,0
315,0
316,0
317,0
318,0.000553097345132743
319,0.00187617260787992
320,0
321,0
322,0
323,0
324,0.000322164948453608
325,0.000622083981337481
326,0
327,0.000276625172890733
328,0
329,0.00014494854326714
330,0
331,0.000138045278851463
332,0
333,0.000296120817293456
334,0
335,0
336,0.000334224598930481
337,0.000412456176531244
338,0.000234192037470726
339,0
340,0.00017611835153223
341,0
342,0
343,0.00106232294617564
344,0
345,0
346,0.000660938532716457
347,0.000602772754671489
348,0.000860338399770576
349,0
350,0.00110192837465565
351,0.000333778371161549
352,0.000931387767773983
353,0
354,0
355,0
356,0
357,0.000537778972842162
358,0.000528820729772607
359,0.000312304809494066
360,0.000303122158229767
361,0.000628338045868677
362,0
363,0.000217580504786771
364,0.000426985482493595
365,0.000454338936846888
366,0
367,0.00123558484349259
368,0.00165084605860504
369,0
370,0.000192492781520693
371,0.00137524557956778
372,0.000625390869293308
373,0
374,0.000359066427289048
375,0
376,0.00225988700564972
377,0.00330396475770925
378,0.00392349190779794
379,0.00191021967526266
380,0.00148441365660564
381,0.00036556388228843
382,0.000754716981132075
383,0.000724900326205147
384,0
385,0
386,0.000432525951557093
387,0
388,0
389,0.000506500084416681
390,0
391,0.00120772946859903
392,0
393,0
394,0
395,0.00111049416990561
396,0
397,0
398,0.000651890482398957
399,0.00101522842639594
400,0
401,0.000443262411347518
402,0.000596658711217184
403,0
404,0
405,0
406,0
407,0
408,0
409,0.00163934426229508
410,0
411,0
412,0
413,0.000625390869293308
414,0
415,0
416,0
417,0.00180505415162455
418,0
419,0.00197628458498024
420,0
421,0
422,0.00241545893719807
423,0.000230149597238205
424,0
425,0
426,0
427,0.000145623998835008
428,0
429,0
430,0.000188465887674331
431,0.000191021967526266
432,0
433,0
434,0
435,0
436,0.000305623471882641
437,0.000949968334388854
438,0.000298596595998806
439,0
440,0
441,0
442,0
443,0
444,0
445,0.000294767870302137
446,0
447,0
448,0.000412371134020619
449,0
450,0
451,0
452,0.000182448458310527
453,0.000189753320683112
454,0
455,0.000787246604999016
456,0
457,0.000585594378293968
458,0.00126262626262626
459,0.000203334688897926
460,0
461,0.00054333061668025
462,0.00049224710804824
463,0.000573558933180384
464,0.000304321363359708
