,AutoClass
0,0.0013215859030837
1,0.000394632991318074
2,0
3,0.000625390869293308
4,0
5,0.000223313979455114
6,0.000255754475703325
7,0
8,0
9,0
10,0.000585480093676815
11,0
12,0
13,0.000892060660124889
14,0
15,0.00178571428571429
16,0.00154320987654321
17,0
18,0
19,0
20,0.000424448217317487
21,0
22,0
23,0
24,0
25,0
26,0.000306091215182124
27,0
28,0
29,0
30,0
31,0
32,0
33,0.000210482003788676
34,0.000299490865528601
35,0
36,0.000391236306729264
37,0
38,0.000182848784055586
39,0.000598623166716552
40,0
41,0.000199880071956826
42,0
43,0
44,0
45,0.000289017341040462
46,0
47,0.000259268861809697
48,0
49,0
50,0.000651748859439496
51,0.000416059912627418
52,0.00188797986154814
53,0.000579710144927536
54,0
55,0.00151362260343088
56,0
57,0.000613873542050338
58,0
59,0.000714285714285714
60,0
61,0.00067272115708039
62,0
63,0.000894988066825776
64,0.000938086303939962
65,0.000297885016383676
66,0.000723850886717336
67,0.000741564701520208
68,0.000565078169146732
69,0.000577589526376588
70,0.00133029266438616
71,0.00169300225733634
72,0.000503524672708963
73,0.000822909809084924
74,0.00180062203306597
75,0.00244584206848358
76,0.00216998191681736
77,0.00204918032786885
78,0.00281293952180028
79,0.00597539543057996
80,0.00417246175243394
81,0.00430292598967298
82,0.0039232781168265
83,0.00175849941383353
84,0.00240963855421687
85,0.00182149362477231
86,0.00355871886120996
87,0.00485672656629432
88,0.00241984271022384
89,0.000540248514316586
90,0
91,0.00204750204750205
92,0.00123660346248969
93,0.00199760287654814
94,0.000604229607250755
95,0.00254452926208651
96,0.00107411385606874
97,0
98,0.000849978750531237
99,0
100,0.000542888165038002
101,0.00122249388753056
102,0.0010124873439082
103,0.00219711236660389
104,0.00215450907971684
105,0.000315258511979823
106,0
107,0
108,0.000925069380203515
109,0.000312989045383412
110,0
111,0.000597728631201434
112,0.00163576881134133
113,0.00049800796812749
114,0
115,0
116,0
117,0.0002465483234714
118,0
119,0.000324359390204346
120,0
121,0
122,0.000499875031242189
123,0
124,0.000268420346262247
125,0
126,0.000245519273262951
127,0
128,0
129,0
130,0.000119674485399713
131,0.000287604256542997
132,0
133,0.000314811899889816
134,0
135,0.000151607034566404
136,0
137,0.000416146483562214
138,0
139,0.00109289617486339
140,0
141,0
142,0
143,0.00480769230769231
144,0.000940733772342427
145,0.000914076782449726
146,0.00120772946859903
147,0.00564971751412429
148,0.00192492781520693
149,0.00120336943441637
150,0.00135593220338983
151,0.000637755102040816
152,0
153,0.000583771161704612
154,0
155,0.000621697233447311
156,0
157,0.000808734330772341
158,0
159,0.000775494377665762
160,0
161,0.00019739439399921
162,0.000338581344167936
163,0.000674877678420786
164,0.00123762376237624
165,0.00120192307692308
166,0
167,0.00107898144151921
168,0.00045662100456621
169,0.000720634158059092
170,0.000196309383588536
171,0.000369344413665743
172,0.000534092932170198
173,0
174,0
175,0.000550812448361333
176,0.000760263558033452
177,0.000642880102860816
178,0.000170561146170902
179,0
180,0.0011883541295306
181,0
182,0.000583090379008746
183,0.000746825989544436
184,0.00099304865938431
185,0.000441241359023386
186,0
187,0.000867177337765573
188,0
189,0.000699594235343501
190,0
191,0.000139899272523783
192,0.000139762403913347
193,0.000300210147102972
194,0.000600120024004801
195,0.000726427429899753
196,0.00013984058173682
197,0.000441988950276243
198,0.000302755071147442
199,0.000221092195445501
200,0.000236742424242424
201,0.000455892409391384
202,0
203,0.000141843971631206
204,0
205,0
206,0
207,0
208,0.000244498777506112
209,0.000227479526842584
210,0.000112905046855594
211,0
212,0
213,0.000149947518368571
214,0.000439463854098
215,0.000227946204695692
216,0.000198965380023876
217,0
218,0.000969932104752667
219,0.0009765625
220,0
221,0.000164663263625885
222,0.000461112818936366
223,0.000323624595469256
224,0.000199880071956826
225,0
226,0.00036556388228843
227,0.000198688654877806
228,0.000433745391455216
229,0.00016627868307283
230,0.000394788787998421
231,0.00126448893572181
232,0.0013701758392327
233,0.00178850883076235
234,0.00182910896263392
235,0.00142891164562991
236,0.00065775049331287
237,0
238,0
239,0.000838222967309304
240,0.000429553264604811
241,0.000659050966608084
242,0.000525210084033613
243,0.000870928409684724
244,0.000687876182287188
245,0.000281412691712396
246,0
247,0.00109349371241115
248,0
249,0.000145243282498184
250,0
251,0
252,0.00122979620520028
253,0.0019559902200489
254,0.00130676249591637
255,0.0012911555842479
256,0.00275027502750275
257,0.000836820083682008
258,0.00326797385620915
259,0.000333333333333333
260,0.00099403578528827
261,0.00241545893719807
262,0.00063304494619118
263,0
264,0.00081799591002045
265,0.00068073519400953
266,0
267,0
268,0
269,0
270,0.000212359311955829
271,0.00704225352112676
272,0.000415282392026578
273,0.000205044084478163
274,0
275,0
276,0.000489476260401371
277,0.000366300366300366
278,0
279,0.000586854460093897
280,0
281,0.00201409869083585
282,0.000447828034034931
283,0.00124069478908189
284,0.00192307692307692
285,0.00140383715489003
286,0.000247586036147561
287,0.00050251256281407
288,0.000336360578540195
289,0.00211864406779661
290,0.000316656111462951
291,0
292,0
293,0
294,0.000968054211035818
295,0.000489476260401371
296,0.000977517106549365
297,0.00142146410803127
298,0.0009765625
299,0.000490436488474743
300,0.000880798590722255
301,0
302,0.000149253731343284
303,0.00232558139534884
304,0.00135396518375242
305,0.000801442596674013
306,0.000527148128624143
307,0
308,0
309,0.000557206537890045
310,0.000405350628293474
311,0
312,0.00187617260787992
313,0.00294985250737463
314,0
315,0.00152671755725191
316,0
317,0
318,0
319,0.000938086303939962
320,0.00187617260787992
321,0.00199600798403194
322,0.00199600798403194
323,0.00243605359317905
324,0.00128865979381443
325,0.0031104199066874
326,0
327,0.000553250345781466
328,0
329,0.000579794173068561
330,0
331,0.000552181115405853
332,0
333,0.000444181225940184
334,0
335,0.000343053173241852
336,0
337,0.00123736852959373
338,0.000936768149882904
339,0.000785751702462022
340,0.00017611835153223
341,0
342,0
343,0.00106232294617564
344,0.000366568914956012
345,0.000412371134020619
346,0.000660938532716457
347,0.000301386377335744
348,0.000573558933180384
349,0.000559127760693318
350,0.00165289256198347
351,0.000667556742323097
352,0.00124185035703198
353,0.000542593597395551
354,0.000591715976331361
355,0.000609013398294762
356,0.00032123353678124
357,0
358,0
359,0.000312304809494066
360,0.000303122158229767
361,0
362,0.000631512472371329
363,0.000435161009573542
364,0.000213492741246798
365,0.000454338936846888
366,0
367,0
368,0.00144449030127941
369,0
370,0.00211742059672762
371,0.00176817288801572
372,0.000312695434646654
373,0.000315159155373464
374,0.000359066427289048
375,0
376,0
377,0.000550660792951542
378,0.000490436488474743
379,0.000477554918815664
380,0
381,0
382,0.000188679245283019
383,0.000362450163102573
384,0.000513347022587269
385,0.00135746606334842
386,0.000865051903114187
387,0.000202183582693085
388,0.00163934426229508
389,0.000337666722944454
390,0.00126742712294043
391,0
392,0
393,0.00110132158590308
394,0.00330943188086045
395,0.00444197667962243
396,0.00133422281521014
397,0.00134138162307176
398,0.00130378096479791
399,0.00456852791878173
400,0.00613207547169811
401,0.00576241134751773
402,0.00238663484486874
403,0.00295159386068477
404,0.000596302921884317
405,0.000855431993156544
406,0
407,0.000843881856540084
408,0.0039714058776807
409,0.00901639344262295
410,0.0048
411,0.00542372881355932
412,0.00194300518134715
413,0.00312695434646654
414,0.00108342361863489
415,0.00215982721382289
416,0.00346820809248555
417,0
418,0.00386847195357834
419,0.00197628458498024
420,0
421,0.00422832980972516
422,0.00241545893719807
423,0.000920598388952819
424,0.000462534690101758
425,0.000230467849734962
426,0.00158250611422817
427,0.00116499199068006
428,0.00251067034898318
429,0
430,0.00188465887674331
431,0.00248328557784145
432,0.0024861350162555
433,0.000384024577572965
434,0.000400801603206413
435,0
436,0.00213936430317848
437,0.0012666244458518
438,0.000298596595998806
439,0.000212179079142797
440,0
441,0
442,0.000576784426820476
443,0
444,0.000437509114773224
445,0.000442151805453206
446,0.000989119683481701
447,0.0017921146953405
448,0.000824742268041237
449,0.000314366551398931
450,0.000670016750418761
451,0.000363636363636364
452,0.000547345374931582
453,0.00094876660341556
454,0.00116166505324298
455,0.000196811651249754
456,0.00278551532033426
457,0.000195198126097989
458,0
459,0.00101667344448963
460,0
461,0.00054333061668025
462,0.00024612355402412
463,0
464,0.000608642726719416
465,0.00029708853238265
466,0.00050744248985115
467,0
468,0.000903138405960713
469,0.000591803521230951
470,0.00294550810014728
471,0.00275684616798383
472,0.00130256791961295
473,0
474,0.00501417048179638
475,0.00158730158730159
476,0.00294488851493479
477,0
478,0.00246305418719212
479,0.00246487552378605
480,0.00283067421513124
481,0
482,0.00214822771213749
483,0
484,0.000995520159283225
485,0.00279329608938547
486,0.000677736360555744
487,0.00130335614206582
488,0.00143215180809166
489,0.0022920759659463
490,0.00134998312521093
491,0
492,0.000296471983397569
493,0.000292825768667643
494,0.000313676286072773
495,0.00063391442155309
496,0.00213675213675214
497,0.00151148730350665
498,0.000675219446320054
499,0.000294637595757219
500,0.000272405339144647
501,0
502,0.00315095961042681
503,0.00495049504950495
504,0.00180555555555556
505,0.0022139200221392
506,0
507,0.000809880542619964
508,0.00145137880986938
509,0.000464684014869888
510,0.000798084596967279
511,0.00115807759119861
512,0.00130975769482646
513,0.00043956043956044
514,0
515,0.000297353553374963
516,0.000238208670795617
517,0.000237925291458482
518,0
519,0.000455062571103527
520,0
521,0
522,0
523,0.00021362956633198
524,0.000201126307320998
525,0.000199203187250996
526,0
527,0.000394244037058939
528,0.000578368999421631
529,0.00084717045069468
530,0.000531067445565587
531,0.000360295442262655
532,0.000203998368013056
533,0.000806451612903226
534,0.000405761817812944
535,0.00234375
536,0
537,0
538,0
539,0
540,0.00459770114942529
541,0.00493325594892629
542,0.00319343065693431
543,0.00694444444444444
544,0.00706547338671691
545,0.0116279069767442
546,0.00464740351586179
547,0.00499700179892065
548,0.00517618952817042
549,0.00467194799918749
550,0.00496175315278065
551,0.00718816067653277
552,0.00330687830687831
553,0.00550837732384668
554,0.00598659003831418
555,0.00396628656420426
556,0.00374064837905237
557,0
558,0.000582156891282201
559,0.00147420147420147
560,0.00207171314741036
561,0.000797066794197354
562,0.00136478845778904
563,0.00076103500761035
