,AutoClass
0,0
1,0
2,0.00035486160397445
3,0
4,0
5,0.000223313979455114
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0.000354233085370174
19,0.000371057513914657
20,0.000424448217317487
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0.000839160839160839
29,0.0008110300081103
30,0
31,0.000231427910205971
32,0.000444543231829295
33,0.000631446011366028
34,0.000449236298292902
35,0
36,0.000195618153364632
37,0.000380300437345503
38,0.000365697568111172
39,0.000299311583358276
40,0
41,0.000199880071956826
42,0.000408079983676801
43,0.000865613503570656
44,0
45,0.000578034682080925
46,0.000269106566200215
47,0.000259268861809697
48,0
49,0
50,0
51,0.000416059912627418
52,0
53,0.000579710144927536
54,0
55,0
56,0
57,0
58,0.000631911532385466
59,0.00178571428571429
60,0.00151572565365669
61,0
62,0
63,0
64,0
65,0
66,0.000723850886717336
67,0.000741564701520208
68,0.000376718779431155
69,0.000192529842125529
70,0.000380083618396047
71,0
72,0.000167841557569654
73,0.00032916392363397
74,0.000163692912096906
75,0
76,0.000723327305605787
77,0.000341530054644809
78,0.000351617440225035
79,0.000351493848857645
80,0
81,0
82,0.0013077593722755
83,0
84,0.000602409638554217
85,0
86,0
87,0.000485672656629432
88,0.000604960677555959
89,0
90,0.00108695652173913
91,0
92,0.000824402308326463
93,0.000799041150619257
94,0.00120845921450151
95,0.00101781170483461
96,0.00214822771213749
97,0.00235294117647059
98,0.00254993625159371
99,0
100,0.00271444082519001
101,0
102,0.0010124873439082
103,0.000627746390458255
104,0.0015389350569406
105,0.000630517023959647
106,0.000623441396508728
107,0.00155038759689922
108,0.00185013876040703
109,0.00219092331768388
110,0.00127510360216768
111,0.00239091452480574
112,0.00327153762268266
113,0.00099601593625498
114,0
115,0
116,0
117,0.000369822485207101
118,0
119,0
120,0
121,0
122,0.000124968757810547
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0.000962463907603465
149,0.00120336943441637
150,0
151,0.000637755102040816
152,0
153,0
154,0
155,0
156,0.000375234521575985
157,0.000404367165386171
158,0
159,0
160,0
161,0
162,0.000169290672083968
163,0
164,0.000309405940594059
165,0
166,0.000261985852763951
167,0.000215796288303841
168,0.000228310502283105
169,0.000720634158059092
170,0.000196309383588536
171,0.000184672206832872
172,0.000534092932170198
173,0.000221827861579414
174,0
175,0
176,0
177,0
178,0.000511683438512707
179,0.00016926201760325
180,0.00029708853238265
181,0
182,0.00043731778425656
183,0.000746825989544436
184,0.000283728188395517
185,0
186,0
187,0
188,0
189,0.0001399188470687
190,0
191,0.000139899272523783
192,0
193,0
194,0
195,0
196,0.00027968116347364
197,0
198,0
199,0
200,0
201,0
202,0.000729394602479942
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0.000299895036737142
214,0.000659195781147001
215,0.000455892409391384
216,0.000596896140071628
217,0.000402252614641995
218,0.000193986420950533
219,0.001171875
220,0.000588928150765607
221,0.000823316318129425
222,0.000307408545957578
223,0.000485436893203883
224,0
225,0
226,0
227,0
228,0.000216872695727608
229,0.00083139341536415
230,0.000986971969996052
231,0.000421496311907271
232,0.000913450559488468
233,0.000447127207690588
234,0.000522602560752548
235,0.000238151940938319
236,0.000219250164437623
237,0.000622535795808259
238,0.000212359311955829
239,0.000209555741827326
240,0.00107388316151203
241,0.000219683655536028
242,0.000175070028011204
243,0.000174185681936945
244,0.000171969045571797
245,0
246,0
247,0.000136686714051394
248,0.000139140114094894
249,0
250,0
251,0
252,0.000175685172171469
253,0
254,0
255,0
256,0.00055005500550055
257,0.000418410041841004
258,0
259,0.00166666666666667
260,0.000331345261762757
261,0
262,0.000211014982063727
263,0
264,0.000408997955010225
265,0.00022691173133651
266,0
267,0.000658039043649923
268,0
269,0.00129171151776103
270,0.000849437247823317
271,0
272,0.000207641196013289
273,0
274,0
275,0
276,0.000489476260401371
277,0.000732600732600733
278,0
279,0
280,0
281,0
282,0.000895656068069861
283,0.00165425971877585
284,0.000961538461538462
285,0.00187178287318671
286,0
287,0.000251256281407035
288,0
