,AutoClass
0,0.00220264317180617
1,0.00118389897395422
2,0.0007097232079489
3,0
4,0.000183688464364438
5,0
6,0
7,0
8,0
9,0
10,0.000585480093676815
11,0
12,0
13,0
14,0.000687285223367698
15,0
16,0
17,0
18,0.000708466170740347
19,0.00148423005565863
20,0.000424448217317487
21,0.000330687830687831
22,0.000319284802043423
23,0.000324675324675325
24,0.000302206104563312
25,0
26,0.000306091215182124
27,0
28,0.000559440559440559
29,0
30,0.000918273645546373
31,0.000231427910205971
32,0
33,0
34,0
35,0
36,0.000195618153364632
37,0
38,0
39,0
40,0.000825593395252838
41,0.000399760143913652
42,0.000408079983676801
43,0.000216403375892664
44,0.000985221674876847
45,0.000578034682080925
46,0.000807319698600646
47,0.000518537723619393
48,0.00114220445459737
49,0.000493583415597236
50,0.000434499239626331
51,0.000208029956313709
52,0.000629326620516048
53,0.000579710144927536
54,0.0014336917562724
55,0.00100908173562059
56,0.000669792364367046
57,0.000613873542050338
58,0
59,0.000357142857142857
60,0.000378931413414172
61,0.00100908173562059
62,0
63,0.00119331742243437
64,0.000938086303939962
65,0.000297885016383676
66,0.00162866449511401
67,0.00148312940304042
68,0.000376718779431155
69,0.000770119368502118
70,0.000760167236792094
71,0.000564334085778781
72,0
73,0.000164581961816985
74,0.000327385824193812
75,0.0010482180293501
76,0.000723327305605787
77,0.00136612021857923
78,0.00105485232067511
79,0.00175746924428822
80,0.00231803430690774
81,0.000860585197934596
82,0.0013077593722755
83,0
84,0.000602409638554217
85,0.00182149362477231
86,0.00355871886120996
87,0.00194269062651773
88,0.00120992135511192
89,0
90,0.000543478260869565
91,0.00040950040950041
92,0.00247320692497939
93,0.000399520575309628
94,0.00181268882175227
95,0.00152671755725191
96,0.00268528464017186
97,0
98,0.00212494687632809
99,0
100,0.00162866449511401
101,0.00244498777506112
102,0.00134998312521093
103,0.000941619585687382
104,0.00123114804555248
105,0
106,0.000311720698254364
107,0
108,0.000308356460067838
109,0
110,0.000318775900541919
111,0.000597728631201434
112,0
113,0.00099601593625498
114,0
115,0
116,0
117,0.0001232741617357
118,0
119,0
120,0
121,0.000549752611324904
122,0
123,0
124,0
125,0
126,0.000122759636631476
127,0
128,0
129,0
130,0
131,0.000143802128271498
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0.000979431929480901
141,0
142,0
143,0.00240384615384615
144,0.000940733772342427
145,0.000914076782449726
146,0
147,0.000941619585687382
148,0.00192492781520693
149,0
150,0
151,0.000637755102040816
152,0.00056980056980057
153,0
154,0
155,0.000621697233447311
156,0.00075046904315197
157,0.000808734330772341
158,0.000789889415481833
159,0.00019387359441644
160,0
161,0.000394788787998421
162,0
163,0
164,0.000618811881188119
165,0.000300480769230769
166,0.000523971705527902
167,0.000863185153215365
168,0.000684931506849315
169,0.000480422772039395
170,0.000588928150765607
171,0.000184672206832872
172,0
173,0
174,0
175,0
176,0
177,0.000321440051430408
178,0
179,0
180,0.00029708853238265
181,0
182,0
183,0
184,0.000141864094197759
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0.000400080016003201
195,0.000435856457939852
196,0
197,0
198,0
199,0.000442184390891002
200,0
201,0
202,0.000486263068319961
203,0.000425531914893617
204,0.000264375413086583
205,0.000237529691211401
206,0
207,0.000247954376394743
208,0.000611246943765281
209,0.000796178343949045
210,0.000677430281133567
211,0.00044913541432742
212,0.000576285837775537
213,0
214,0.000659195781147001
215,0.000683838614087075
216,0.000795861520095503
217,0.000201126307320998
218,0.0005819592628516
219,0.001171875
220,0.000785237534354142
221,0.00065865305450354
222,0.000461112818936366
223,0.000323624595469256
224,0
225,0.000935278713056491
226,0.000182781941144215
227,0.00119213192926684
228,0.00108436347863804
229,0.00049883604921849
230,0
231,0.000421496311907271
232,0.000913450559488468
233,0.00201207243460765
234,0.000261301280376274
235,0.000714455822814956
236,0
237,0
238,0.000424718623911659
239,0.00146689019279128
240,0.00193298969072165
241,0.0015377855887522
242,0.000350140056022409
243,0.00121929977355861
244,0.000515907136715391
245,0.000140706345856198
246,0.000406338886631451
247,0.000410060142154183
248,0.000417420342284681
249,0.000145243282498184
250,0.000475511174512601
251,0.000520969002344361
252,0.000702740688685875
253,0.0006519967400163
254,0.000980071871937275
255,0.00290510006455778
256,0.00357535753575358
257,0
258,0
259,0.000333333333333333
260,0.00099403578528827
261,0
262,0.00063304494619118
263,0
264,0.00184049079754601
265,0.00068073519400953
266,0
267,0
268,0.00106496272630458
269,0.000215285252960172
270,0
271,0
272,0.000622923588039867
273,0.000205044084478163
274,0
275,0
276,0.000489476260401371
277,0.0010989010989011
278,0
279,0
280,0
281,0.00100704934541793
282,0.00134348410210479
283,0.000827129859387924
284,0.000480769230769231
285,0.00233972859148339
286,0
287,0
288,0.00067272115708039
289,0
290,0.000949968334388854
291,0.0006635700066357
292,0.00104748603351955
293,0.000330250990752972
294,0
295,0.00146842878120411
296,0.000977517106549365
297,0
298,0.00146484375
299,0.000735654732712114
300,0.000733998825601879
301,0.000429676310512747
302,0.000447761194029851
303,0.00035778175313059
304,0.00135396518375242
305,0.000801442596674013
306,0
307,0
308,0
309,0.000185735512630015
310,0
311,0
312,0
313,0
314,0.00196850393700787
315,0.00458015267175573
316,0
317,0
318,0
319,0
320,0
321,0.00199600798403194
322,0
323,0.00365408038976857
324,0.0038659793814433
325,0.00217729393468118
326,0
327,0.000553250345781466
328,0
329,0.00028989708653428
330,0
331,0.000138045278851463
332,0
333,0.000592241634586911
334,0.000696864111498258
335,0.000686106346483705
336,0.00233957219251337
337,0.000206228088265622
338,0.00117096018735363
339,0.000785751702462022
340,0
341,0.000175777816839515
342,0.000325520833333333
343,0
344,0.000366568914956012
345,0.000412371134020619
346,0.000991407799074686
347,0.000904159132007233
348,0.000860338399770576
349,0.00111825552138664
350,0.000550964187327824
351,0.00467289719626168
352,0.000620925178515989
353,0.0021703743895822
354,0.00118343195266272
355,0.00426309378806334
356,0.00449726951493736
357,0.00537778972842162
358,0.00264410364886304
359,0.000312304809494066
360,0.00242497726583813
361,0.00251335218347471
362,0
363,0.000652741514360313
364,0.00128095644748079
365,0
366,0
367,0
368,0.00206355757325629
369,0
370,0.00307988450433109
371,0.00176817288801572
372,0
373,0
374,0.000718132854578097
375,0.00130293159609121
376,0.00112994350282486
377,0
378,0
379,0.000477554918815664
380,0.000989609104403761
381,0.000182781941144215
382,0.000188679245283019
383,0
384,0.00102669404517454
385,0.000452488687782805
386,0.00129757785467128
387,0.000404367165386171
388,0
389,0
390,0
391,0
392,0.00116144018583043
393,0
394,0.00220628792057364
395,0
396,0.00266844563042028
397,0.00268276324614353
398,0
399,0.00355329949238579
400,0.00283018867924528
401,0.00398936170212766
402,0.00178997613365155
403,0
404,0.00119260584376863
405,0.000855431993156544
406,0.00157977883096367
407,0
408,0.00476568705321684
409,0.00409836065573771
410,0.008
411,0.00406779661016949
412,0.00129533678756477
413,0.00125078173858662
414,0.00108342361863489
415,0
416,0.00115606936416185
417,0.00180505415162455
418,0
419,0.00197628458498024
420,0.00216919739696312
421,0.00634249471458774
422,0.00483091787439614
423,0
424,0
425,0.000230467849734962
426,0.000575456768810243
427,0.000291247997670016
428,0.00100426813959327
429,0
430,0.000753863550697324
431,0.000955109837631328
432,0.00057372346528973
433,0
434,0
435,0
436,0.00519559902200489
437,0.00253324889170361
438,0.000298596595998806
439,0.000424358158285593
440,0.000803858520900322
441,0.0002465483234714
442,0.000720980533525595
443,0
444,0.000437509114773224
445,0.000294767870302137
446,0.00148367952522255
447,0.00224014336917563
448,0
449,0.000314366551398931
450,0.000670016750418761
451,0.000727272727272727
452,0.000364896916621055
453,0.00094876660341556
454,0.000387221684414327
455,0.000393623302499508
456,0
457,0.000975990630489947
458,0.00126262626262626
459,0.00101667344448963
460,0.00116822429906542
461,0.00135832654170062
462,0.00073837066207236
463,0
464,0.000912964090079124
465,0.0011883541295306
466,0.00050744248985115
467,0
468,0
469,0.000887705281846427
470,0.000736377025036819
471,0.00128652821172579
472,0.000372162262746558
473,0.00273972602739726
474,0.00152605188576412
475,0
476,0.0016827934371056
477,0
478,0.000821018062397373
479,0.000246487552378605
480,0
481,0
482,0.000537056928034372
483,0.00137362637362637
484,0.000248880039820806
485,0.00104748603351955
486,0
487,0.000977517106549365
488,0.000716075904045829
489,0.00130975769482646
490,0.000337495781302734
491,0.000294985250737463
492,0.000592943966795138
493,0.000292825768667643
494,0.000627352572145546
495,0
496,0.000712250712250712
497,0.00030229746070133
498,0.000337609723160027
499,0.000883912787271656
500,0
501,0.000271517784414879
502,0.000429676310512747
503,0
504,0.000694444444444444
505,0.0001383700013837
506,0
507,0.000202470135654991
508,0
509,0
510,0
511,0.000289519397799653
512,0
513,0
514,0.000428816466552316
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0.00019712201852947
528,0
529,0.000169434090138936
530,0.000177022481855196
531,0
532,0
533,0
534,0
535,0
536,0
537,0.000734214390602056
538,0.00069856793573175
539,0.000176304654442877
540,0.00551724137931034
541,0.0127684271619269
542,0.00364963503649635
543,0.00954861111111111
544,0.0023551577955723
545,0.00305997552019584
546,0.00202061022428774
547,0.00339796122326604
548,0.00318534740195103
549,0.00385943530367662
550,0.00434153400868307
551,0.0040169133192389
552,0.00573192239858906
553,0.00344273582740418
554,0.00359195402298851
555,0.00396628656420426
556,0.0029925187032419
557,0.0016366612111293
558,0.0017464706738466
559,0.00229320229320229
560,0.00111553784860558
561,0.00223178702375259
562,0.000389939559368298
563,0.00114155251141553
564,0.00058331713007972
565,0.00389357560025957
566,0.0036563071297989
567,0.00368167657887284
568,0.000973709834469328
569,0.00755208333333333
570,0.00744047619047619
571,0.0049438202247191
572,0.00272798129384256
573,0.000403551251008878
574,0.00210970464135021
575,0.000511770726714432
576,0.00204918032786885
577,0.00050251256281407
578,0.00203562340966921
579,0
580,0.000516929439131559
581,0.00239808153477218
582,0.000806885422270038
583,0.00106382978723404
584,0.000555092978073827
585,0.000286123032904149
586,0
587,0.0011142061281337
588,0.0005720823798627
589,0
590,0.000279642058165548
591,0.000826446280991736
592,0.000273747604708459
593,0.00106439595529537
594,0.000195121951219512
595,0.00061970667217517
596,0
597,0.00056980056980057
598,0.000621310966138552
599,0.000318167356029271
600,0.000353669319186561
601,0.00037359900373599
602,0
603,0.000247586036147561
604,0.000268132457433972
605,0.000253004427577483
606,0
607,0.000421348314606742
608,0.000284859706594502
609,0.000279212620410443
610,0.000411409764125069
611,0.000128221566867547
612,0.000118427285646613
613,0.000421052631578947
614,0
615,0.000408942202835333
616,0
617,0.000137438152831226
618,0
619,0.00169861684057268
620,0.00140548137737175
621,0.00139146567717996
622,0.00105932203389831
623,0.000726348284002179
624,0.000243131534159981
625,0.00152387402641382
626,0.00214238628872775
627,0.00151591712986357
628,0.00422034651266104
629,0.004149377593361
630,0.00373790677220756
631,0.00509683995922528
632,0.00484261501210654
633,0.00201816347124117
634,0.000903546419697312
635,0.00299815498154982
636,0
637,0.00138440239963083
638,0.000840689365279529
639,0.000432525951557093
640,0.00128976784178848
641,0.00182481751824818
642,0.00542005420054201
643,0.00355871886120996
644,0
645,0.000244140625
646,0.000457247370827618
647,0.000278784499581823
648,0.000926998841251448
649,0.000874699322108025
650,0.000694283730617912
651,0.000525486074619023
652,0.00134916351861846
653,0.00287438919229664
654,0.00025756600128783
655,0.000378740058073476
656,0.000248725282925009
657,0.000283245999150262
658,0.000309453814018258
659,0.000618620476337767
660,0.00116256539430343
661,0
662,0.000992654357752631
663,0.000195045835771406
664,0.002356637863315
665,0.00101214574898785
666,0
667,0.00126582278481013
668,0.00116530714166805
669,0.00114528795811518
670,0.0032258064516129
671,0.00176225568727972
672,0.000437509114773224
673,0.000276281254316895
674,0
675,0
676,0
677,0.000549677064724474
678,0
679,0.000532978014656895
680,0.000115915150110119
681,0
682,0.000815660685154976
683,0
684,0.000356590990134316
685,0
686,0.000751992780869304
687,0
688,0.00113700966458215
689,0
690,0.000305903946160905
691,0.000759013282732448
692,0.00090702947845805
693,0
694,0.000890471950133571
695,0
696,0.00167555217060168
697,0
698,0.000786163522012579
699,0.00290205562273277
700,0.0027906976744186
701,0.00151810887009326
702,0
703,0.00345454545454545
704,0.00230782886561335
705,0.00137646249139711
706,0.0011953143676787
707,0.000971817298347911
708,0.00184119677790564
709,0.00478142076502732
710,0.00288184438040346
711,0.00501193317422434
712,0.00123304562268804
713,0.00339827820570911
714,0.0015527950310559
715,0.00283848992336077
716,0.00483383685800604
717,0.00492307692307692
718,0.00309278350515464
719,0.00494276795005203
720,0
721,0.00378378378378378
722,0.00113199003848766
723,0.000901306894997747
724,0.000684775165487332
725,0.00196511913534758
726,0.000831946755407654
727,0.00112943302462164
728,0.00104799832320268
729,0.000619067271976888
730,0.000637213254035684
731,0.000410088168956326
732,0.000197277569540343
733,0.000383877159309021
734,0.000652230628750326
735,0
736,0
737,0.000554323725055432
738,0.00139049826187717
739,0.000721847930702599
740,0
741,0
742,0.000111470293166871
743,0.000491159135559921
744,0.000488400488400488
745,0.000473372781065089
746,0.00128452151573539
747,0.00101750101750102
748,0.00156188988676298
749,0.00170981924767953
750,0.00287165893527723
751,0.00292858751971165
752,0.000150489089541008
753,0.000887311446317658
754,0
755,0.00209923664122137
756,0.00210325047801147
757,0.00173946656358717
758,0.0011864406779661
759,0.000862515094014145
760,0.000341997264021888
761,0.000736241487207804
762,0.00171135196805476
763,0.000969367972082202
