,AutoClass
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0.000330687830687831
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0.000190150218672751
38,0
39,0
40,0.000206398348813209
41,0
42,0.0002040399918384
43,0
44,0.000328407224958949
45,0.000289017341040462
46,0
47,0
48,0
49,0
50,0.000217249619813165
51,0
52,0
53,0.000579710144927536
54,0.000716845878136201
55,0.00151362260343088
56,0.000334896182183523
57,0
58,0.000631911532385466
59,0.000357142857142857
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0.00018811136192626
72,0.000167841557569654
73,0.000164581961816985
74,0.000327385824193812
75,0
76,0
77,0
78,0
79,0
80,0
81,0.000860585197934596
82,0.001743679163034
83,0.00234466588511137
84,0.00240963855421687
85,0
86,0
87,0.0014570179698883
88,0.00181488203266788
89,0.00216099405726634
90,0.00380434782608696
91,0.000819000819000819
92,0.000824402308326463
93,0.000799041150619257
94,0
95,0.000508905852417303
96,0
97,0.00235294117647059
98,0.000424989375265618
99,0
100,0.000542888165038002
101,0
102,0
103,0
104,0.000307787011388119
105,0
106,0.000311720698254364
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0.000441306266548985
137,0
138,0
139,0
140,0
141,0.000522193211488251
142,0
143,0.00240384615384615
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0.000309405940594059
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0.000144071459443884
213,0.000149947518368571
214,0.000219731927049
215,0.000227946204695692
216,0.000397930760047752
217,0.00080450522928399
218,0
219,0
220,0.000196309383588536
221,0.00032932652725177
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0.000228362639872117
233,0.000223563603845294
234,0
235,0.000714455822814956
236,0
237,0
238,0.000212359311955829
239,0
240,0.000214776632302405
241,0.000219683655536028
242,0.000175070028011204
243,0.00034837136387389
244,0
245,0
246,0
247,0
248,0.000278280228189787
249,0.000145243282498184
250,0
251,0.00026048450117218
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0.000333333333333333
260,0
261,0
262,0.000211014982063727
263,0
264,0.000408997955010225
265,0.00022691173133651
266,0
267,0.000438692695766616
268,0
269,0.000215285252960172
270,0
271,0
272,0
273,0.000205044084478163
274,0
275,0
276,0
277,0.000366300366300366
278,0
279,0
280,0
281,0.00100704934541793
282,0.000447828034034931
283,0
284,0
285,0.000467945718296678
286,0.000247586036147561
287,0
288,0.000336360578540195
289,0
290,0.000316656111462951
291,0.00033178500331785
292,0
293,0.000330250990752972
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0.00187617260787992
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0.000138045278851463
332,0
333,0.000148060408646728
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0.000366568914956012
345,0.000412371134020619
346,0
347,0.000301386377335744
348,0
349,0
350,0
351,0
352,0.000931387767773983
353,0
354,0.000591715976331361
355,0
356,0.00096370061034372
357,0
358,0
359,0.000312304809494066
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0.000411861614497529
368,0.000619067271976888
369,0
370,0.000577478344562079
371,0.000392927308447937
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
