,AutoClass
0,0
1,0
2,0.00035486160397445
3,0.000312695434646654
4,0.000551065393093314
5,0.000446627958910228
6,0.000767263427109974
7,0.000353606789250354
8,0.00016655562958028
9,0.000554323725055432
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0.000559440559440559
29,0
30,0
31,0
32,0.000222271615914648
33,0
34,0
35,0.000208159866777685
36,0.000782472613458529
37,0.000380300437345503
38,0.000731395136222344
39,0.000299311583358276
40,0.000412796697626419
41,0.000399760143913652
42,0.001020199959192
43,0
44,0.000328407224958949
45,0
46,0
47,0.000518537723619393
48,0
49,0.000493583415597236
50,0
51,0
52,0
53,0.00115942028985507
54,0.0021505376344086
55,0.00201816347124117
56,0.00100468854655057
57,0.000306936771025169
58,0.000631911532385466
59,0.000357142857142857
60,0.000378931413414172
61,0.000336360578540195
62,0.00120481927710843
63,0.000894988066825776
64,0
65,0.000595770032767352
66,0.00090481360839667
67,0.000741564701520208
68,0.000376718779431155
69,0.00211782826338082
70,0.000570125427594071
71,0.00112866817155756
72,0.00117489090298758
73,0.000658327847267939
74,0.00163692912096906
75,0
76,0.000723327305605787
77,0.000683060109289617
78,0.00105485232067511
79,0.000351493848857645
80,0.00370885489105239
81,0.00516351118760757
82,0.0021795989537925
83,0.000586166471277843
84,0.00421686746987952
85,0.00242865816636308
86,0.0025419420437214
87,0.000971345313258863
88,0.00241984271022384
89,0.00162074554294976
90,0.0016304347826087
91,0.00327600327600328
92,0.000824402308326463
93,0.000399520575309628
94,0.00120845921450151
95,0.00101781170483461
96,0.000537056928034372
97,0
98,0.000849978750531237
99,0
100,0.000542888165038002
101,0
102,0.00134998312521093
103,0.000941619585687382
104,0.0015389350569406
105,0
106,0.000311720698254364
107,0
108,0
109,0
110,0.000318775900541919
111,0
112,0
113,0.00049800796812749
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0.000428265524625268
124,0.000134210173131123
125,0
126,0.000245519273262951
127,0
128,0
129,0
130,0.000119674485399713
131,0
132,0
133,0
134,0.000676132521974307
135,0.000151607034566404
136,0
137,0
138,0
139,0
140,0
141,0
142,0.00116959064327485
143,0.00240384615384615
144,0.000940733772342427
145,0.000914076782449726
146,0
147,0
148,0.000962463907603465
149,0.000601684717208183
150,0.00135593220338983
151,0
152,0.00056980056980057
153,0
154,0
155,0.000310848616723656
156,0.000375234521575985
157,0.00121310149615851
158,0.000789889415481833
159,0
160,0
161,0
162,0
163,0
164,0
165,0.000300480769230769
166,0
167,0
168,0
169,0
170,0.000392618767177071
171,0.000184672206832872
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0.00029708853238265
181,0
182,0.000145772594752187
183,0.000746825989544436
184,0.000141864094197759
185,0
186,0
187,0.000144529556294262
188,0
189,0
190,0
191,0
192,0
193,0
194,0.0016003200640128
195,0.000290570971959901
196,0.0006992029086841
197,0.012817679558011
198,0.0124129579170451
199,0.00353747512712801
200,0.00402462121212121
201,0.00364713927513107
202,0.00194505227327984
203,0.000141843971631206
204,0
205,0
206,0
207,0.000123977188197372
208,0.000244498777506112
209,0.000227479526842584
210,0.000112905046855594
211,0.00044913541432742
212,0.00115257167555107
213,0.00239916029389714
214,0.002636783124588
215,0.000227946204695692
216,0.000596896140071628
217,0.000201126307320998
218,0.000387972841901067
219,0.000390625
220,0
221,0.000164663263625885
222,0.000461112818936366
223,0.000161812297734628
224,0.000199880071956826
225,0.000187055742611298
226,0.000182781941144215
227,0.000397377309755613
228,0
229,0.00016627868307283
230,0.000592183181997631
231,0.000210748155953635
232,0.000456725279744234
233,0.00111781801922647
234,0.000261301280376274
235,0.000238151940938319
236,0.000438500328875247
237,0
238,0.000424718623911659
239,0.00146689019279128
240,0.00128865979381443
241,0.00175746924428822
242,0.000175070028011204
243,0.000870928409684724
244,0.000343938091143594
245,0.000422119037568594
246,0.000270892591087634
247,0.000410060142154183
248,0.000556560456379574
249,0
250,0.000475511174512601
251,0.00013024225058609
252,0.000527055516514406
253,0.000488997555012225
254,0.000163345311989546
255,0
256,0.00192519251925193
257,0.000836820083682008
258,0
259,0.000333333333333333
260,0.000662690523525514
261,0
