,AutoClass
0,0.00176211453744493
1,0.00710339384372534
2,0.00319375443577005
3,0.00500312695434647
4,0.00165319617927994
5,0.000893255917820456
6,0.00179028132992327
7,0.000353606789250354
8,0.000499666888740839
9,0
10,0.00175644028103044
11,0.000573065902578797
12,0.00596252129471891
13,0.000892060660124889
14,0
15,0.00892857142857143
16,0.00462962962962963
17,0.0075187969924812
18,0.0230251505490613
19,0.023747680890538
20,0.0195246179966044
21,0.00793650793650794
22,0.0102171136653895
23,0.0107142857142857
24,0.00906618313689937
25,0.00735785953177258
26,0.0134680134680135
27,0.00692440854010387
28,0.00559440559440559
29,0.0166261151662612
30,0.0174471992653811
31,0.00925711640823883
32,0.00800177817292732
33,0.00862976215533572
34,0.00404312668463612
35,0.00437135720233139
36,0.00449921752738654
37,0.00361285415478228
38,0.00694825379411227
39,0.0332235857527686
40,0.0251805985552116
41,0.0251848890665601
42,0.01020199959192
43,0.00908894178749189
44,0.0111658456486043
45,0.00895953757225434
46,0.00807319698600646
47,0.0077780658542909
48,0.00913763563677898
49,0.0106120434353406
50,0.0139039756680426
51,0.0124817973788226
52,0.00943989930774072
53,0.00753623188405797
54,0.021505376344086
55,0.0156407669021191
56,0.0301406563965171
57,0.0319214241866176
58,0.0199052132701422
59,0.0267857142857143
60,0.0276619931792346
61,0.0514631685166499
62,0.0566265060240964
63,0.123508353221957
64,0.119449656035022
65,0.13375037235627
66,0.0517553384002895
67,0.0530218761586948
68,0.0587681295912601
69,0.0679630342703119
70,0.0674648422652984
71,0.0758088788562829
72,0.0058744545149379
73,0.00674786043449638
74,0.00916680307742675
75,0.0010482180293501
76,0.00180831826401447
77,0.00648907103825137
78,0.0059774964838256
79,0.00984182776801406
80,0.0231803430690774
81,0.0228055077452668
82,0.0222319093286835
83,0.0468933177022274
84,0.041566265060241
85,0.0406800242865817
86,0.0193187595322827
87,0.0169985429820301
88,0.0356926799758016
89,0.0334954078876283
90,0.0364130434782609
91,0.0274365274365274
92,0.0267930750206101
93,0.0307630842988414
94,0.00120845921450151
95,0.00458015267175573
96,0.00805585392051558
97,0.00941176470588235
98,0.00764980875478113
99,0
100,0.00325732899022801
101,0.00244498777506112
102,0.00269996625042187
103,0.00313873195229127
104,0.00123114804555248
105,0.00126103404791929
106,0.00155860349127182
107,0.000930232558139535
108,0.00123342584027135
109,0.00156494522691706
110,0.00191265540325151
111,0.00119545726240287
112,0.00218102508178844
113,0
114,0
115,0.000119047619047619
116,0
117,0.0002465483234714
118,0
119,0.00227051573143042
120,0.00166181969256336
121,0
122,0.000124968757810547
123,0
124,0
125,0
126,0.000122759636631476
127,0
128,0
129,0
130,0
131,0.000287604256542997
132,0
133,0.000629623799779632
134,0
135,0.000151607034566404
136,0
137,0
138,0.000425531914893617
139,0
140,0
141,0
142,0
143,0.00240384615384615
144,0
145,0
146,0.00120772946859903
147,0.000941619585687382
148,0
149,0.000601684717208183
150,0
151,0
152,0
153,0
154,0.000678656260604004
155,0.00124339446689462
156,0.00075046904315197
157,0.000808734330772341
158,0.000789889415481833
159,0
160,0.000383656244005371
161,0.000986971969996052
162,0.00118503470458778
163,0.00219335245486756
164,0.00371287128712871
165,0.00420673076923077
166,0.00576368876080692
167,0.0282693137678032
168,0.0289954337899543
169,0.0369925534470334
170,0.000392618767177071
171,0.000184672206832872
172,0.000534092932170198
173,0.000887311446317658
174,0.000435824798431031
175,0.000275406224180667
176,0.0010136847440446
177,0.00128576020572163
178,0.000511683438512707
179,0.0010155721056195
180,0.00787284610814023
181,0.00789313904068002
182,0.00685131195335277
183,0.00448095593726662
184,0.00652574833309689
185,0.0102956317105457
186,0.00477326968973747
187,0.00867177337765573
188,0.0115979381443299
189,0.00811529312998461
190,0.00589390962671906
191,0.00643536653609401
192,0.0050314465408805
193,0.00720504353047133
194,0.00720144028805761
195,0.00857184367281709
196,0.00741155083205146
197,0.0130386740331492
198,0.00756887677868604
199,0.00773822684059253
200,0.0104166666666667
201,0.00911784818782767
202,0.00729394602479942
203,0.0024113475177305
204,0.00211500330469266
205,0.00273159144893112
206,0.00162544990131197
207,0.00285147532853955
208,0.00317848410757946
209,0.00238853503184713
210,0.0020322908434007
211,0.00325623175387379
212,0.00187292897277049
213,0.00434847803268856
214,0.002856515051637
215,0.00227946204695692
216,0.00756068444090728
217,0.00422365245374095
218,0.00155189136760427
219,0.00234375
220,0.00137416568511975
221,0.00131730610900708
222,0.00230556409468183
223,0.00129449838187702
224,0
225,0.000561167227833895
226,0.000913909705721075
227,0.00119213192926684
228,0.000650618087182824
229,0.00615231127369471
230,0.00473746545598105
231,0.00273972602739726
232,0.0134733957524549
233,0.0105074893807288
234,0.00731643585053567
235,0.00714455822814956
236,0.0322297741723306
237,0.0213737289894169
238,0.0246336801868762
239,0.00251466890192791
240,0.00322164948453608
241,0.00263620386643234
242,0.00192577030812325
243,0.00191604250130639
244,0.00223559759243336
245,0.00225130153369917
246,0.00203169443315725
247,0.00259704756697649
248,0.00139140114094894
249,0.00203340595497458
250,0.00285306704707561
251,0.00351654076582443
252,0.00404075895994378
253,0.0052159739201304
254,0.00767722966350866
255,0.039380245319561
256,0.0286028602860286
257,0.176569037656904
258,0.160130718954248
259,0.212333333333333
260,0.217362491716368
261,0.123188405797101
262,0.110149820637265
263,0.152823920265781
264,0.119836400817996
265,0.284547311095984
266,0.2970498474059
267,0.297433647729765
268,0.300319488817891
269,0.306350914962325
270,0.333616479082608
271,0.295774647887324
272,0.322051495016611
273,0.336887430797622
274,0.323741007194245
275,0.26353617632966
276,0.317180616740088
277,0.336263736263736
278,0.322701688555347
279,0.335093896713615
280,0.369362920544023
281,0.171701913393756
282,0.176892073443798
283,0.230769230769231
284,0.0168269230769231
285,0.0177819372952737
286,0
287,0.00050251256281407
288,0.00100908173562059
289,0.00423728813559322
290,0.000949968334388854
291,0.00165892501658925
292,0.000698324022346369
293,0.00165125495376486
294,0.000484027105517909
295,0.00195790504160548
296,0.00195503421309873
297,0.00118455342335939
298,0.000732421875
299,0.00122609122118686
300,0.00572519083969466
301,0.00458321397880264
302,0.00835820895522388
303,0.00983899821109123
304,0.00754352030947776
305,0.0062111801242236
306,0.00395361096468108
307,0.00328864153807235
308,0.00270562770562771
309,0.00612927191679049
310,0.00790433725172274
311,0.00494030465212021
312,0.0112570356472795
313,0.0147492625368732
314,0.00393700787401575
315,0.00458015267175573
316,0.0193050193050193
317,0.0155038759689922
318,0.0182522123893805
319,0.0075046904315197
320,0.0075046904315197
321,0.00598802395209581
322,0.00399201596806387
323,0.0140073081607795
324,0.0103092783505155
325,0.00622083981337481
326,0.00803212851405622
327,0.00788381742738589
328,0.0108108108108108
329,0.00347876503841136
330,0.00172711571675302
331,0.00814467145223633
332,0
333,0.00607047675451584
334,0.00418118466898955
335,0.00857632933104631
336,0.00434491978609626
337,0.0532068467725304
338,0.0447306791569087
339,0.0523834468308015
340,0.00369848538217682
341,0.00386711197046933
342,0.00504557291666667
343,0.00531161473087819
344,0.00733137829912024
345,0.00742268041237113
346,0.00561797752808989
347,0.00693188667872212
348,0.0137654143963292
349,0.0075482247693598
350,0.009366391184573
351,0.00767690253671562
352,0.0102452654455138
353,0.0168204015192621
354,0.0242603550295858
355,0.0164433617539586
356,0.025377449405718
357,0.0290400645334767
358,0.0298783712321523
359,0.0649594003747658
360,0.0624431645953319
361,0.0697455230914232
362,0.184401641932428
363,0.155570060922541
364,0.150298889837746
365,0.0331667423898228
366,0.0236686390532544
367,0.0354200988467875
368,0.0404457284358234
369,0.0342298288508557
370,0.033878729547642
371,0.037328094302554
372,0.00218886804252658
373,0.000945477466120391
374,0.00251346499102334
375,0.00651465798045603
376,0.00508474576271186
377,0.00605726872246696
378,0.0107896027464443
379,0.0105062082139446
380,0.00841167738743196
381,0.00420398464631694
382,0.00528301886792453
383,0.00525552736498731
384,0.000513347022587269
385,0.000904977375565611
386,0.00259515570934256
387,0.00101091791346543
388,0
389,0.000675333445888908
390,0
391,0
392,0
393,0.00330396475770925
394,0.00551571980143409
395,0.00111049416990561
396,0.00133422281521014
397,0.00201207243460765
398,0.00260756192959583
399,0.00050761421319797
400,0.000943396226415094
401,0.000886524822695035
402,0.00775656324582339
403,0.00236127508854782
404,0.00834824090638044
405,0.00427715996578272
406,0.0118483412322275
407,0.00928270042194093
408,0.011119936457506
409,0.00491803278688525
410,0.0112
411,0.0128813559322034
412,0.00841968911917098
413,0.0118824265165729
414,0.00325027085590466
415,0.0107991360691145
416,0.00578034682080925
417,0.0108303249097473
418,0.00967117988394584
419,0.00790513833992095
420,0.00867678958785249
421,0.00422832980972516
422,0.00241545893719807
423,0.0133486766398159
424,0.0101757631822387
425,0.0133671352846278
426,0.0100704934541793
427,0.0142711518858308
428,0.0175746924428823
429,0.00892857142857143
430,0.0388239728609122
431,0.0368672397325692
432,0.0386307133295085
433,0.00192012288786482
434,0.00160320641282565
435,0.00491865304578131
436,0.00213936430317848
437,0.00158328055731476
438,0.000597193191997611
439,0.000424358158285593
440,0.000803858520900322
441,0.000493096646942801
442,0.00720980533525595
443,0.00289855072463768
444,0.00452092751932332
445,0.00338983050847458
446,0.00890207715133531
447,0.0147849462365591
448,0.00742268041237113
449,0.0113171958503615
450,0.0177554438860972
451,0.0141818181818182
452,0.0120415982484948
453,0.0130929791271347
454,0.0166505324298161
455,0.0393623302499508
456,0.0417827298050139
457,0.0472379465157134
458,0.0441919191919192
459,0.0433102887352582
460,0.0272585669781931
461,0.0255365389839717
462,0.0344572975633768
463,0.0278176082592486
464,0.0234327449786975
465,0.0326797385620915
466,0.0309539918809202
467,0.0475409836065574
468,0.0453827048995259
469,0.0720520787098683
470,0.0366347569955817
471,0.0452122771549348
472,0.0448455526609602
473,0.0328767123287671
474,0.0246348375844779
475,0.0253968253968254
476,0.0204038704249053
477,0.0221674876847291
478,0.0188834154351396
479,0.0248952427902391
480,0.0391147709727226
481,0.155701754385965
482,0.159774436090226
483,0.162087912087912
484,0.166500746640119
485,0.177374301675978
486,0.162995594713656
487,0.165852069077876
488,0.182241317579663
489,0.170268500327439
490,0.165035437057037
491,0.0182890855457227
492,0.0254965905721909
493,0.0234260614934114
494,0.0156838143036386
495,0.0145800316957211
496,0.00534188034188034
497,0.00695284159613059
498,0.000675219446320054
499,0.00265173836181497
500,0.004630890765459
501,0.00244366005973391
502,0.00186193067888857
503,0
504,0.000833333333333333
505,0.0040127300401273
506,0.00241448692152917
507,0.00303705203482486
508,0.00725689404934688
509,0.00975836431226766
510,0.00438946528332003
511,0.00723798494499131
512,0.00884086444007859
513,0.00043956043956044
514,0.000857632933104631
515,0.000594707106749926
516,0.0102429728442115
517,0.00594813228646205
518,0.00791687283523008
519,0.00341296928327645
520,0.0054019014693172
521,0.00500312695434647
522,0.00276536907041055
523,0.00427259132663961
524,0.00261464199517297
525,0.00418326693227092
526,0.00487705750863646
527,0.00571653853735462
528,0.00636205899363794
529,0.0066079295154185
530,0.00513365197380067
531,0.00558457935507116
532,0.00550795593635251
533,0.00342741935483871
534,0.00547778454047474
535,0.02421875
536,0.0241596638655462
537,0.00201908957415565
538,0.00174641983932937
539,0.00264456981664316
540,0.00873563218390805
541,0.00609402205455601
542,0.00684306569343066
543,0.00376157407407407
544,0.00471031559114461
545,0.0122399020807834
546,0.00808244089715094
547,0.0121926843893664
548,0.0091578737806092
549,0.00954702417225269
550,0.00909654744676452
551,0.0103594080338266
552,0.00837742504409171
553,0.00573789304567363
554,0.0100574712643678
555,0.00917203767972236
556,0.00773067331670823
557,0.00967117988394584
558,0.00844127492359191
559,0.010974610974611
560,0.0149800796812749
561,0.0119560019129603
562,0.01832715929031
563,0.0209284627092846
564,0.0241104413766284
565,0.0395846852693056
566,0.0524070688604509
567,0.0481450014160295
568,0.0642648490749757
569,0.04140625
570,0.0505952380952381
571,0.0584269662921348
572,0.0584567420109119
573,0.0351089588377724
574,0.0216244725738397
575,0.0194472876151484
576,0.0194672131147541
577,0.021105527638191
578,0.0249363867684478
579,0.0250125062531266
580,0.00387697079348669
581,0.00346389555022649
582,0.00618612157073696
583,0.00159574468085106
584,0.00416319733555371
585,0.00343347639484979
586,0.00440892807936071
587,0.00306406685236769
588,0.00200228832951945
589,0.00280033604032484
590,0.00251677852348993
591,0.00247933884297521
592,0.00246372844237613
593,0.00425758382118148
594,0.00117073170731707
595,0.00165255112580045
596,0.00267434684221354
597,0.0239316239316239
598,0.0248524386455421
599,0.0308622335348393
600,0.00459770114942529
601,0.00635118306351183
602,0
603,0.00544689279524635
604,0.0048263842338115
605,0.00290955091714105
606,0.00252156602521566
607,0.00323033707865169
608,0.00185158809286426
609,0.0039089766857462
610,0.00315414152495886
611,0.00346198230542377
612,0.003671245855045
613,0.0148771929824561
614,0.00700525394045534
615,0.0133587786259542
616,0.00894854586129754
617,0.0152556349642661
618,0.012987012987013
619,0.0723125454986654
620,0.0630124150855001
621,0.0686456400742115
622,0.0150070621468927
623,0.016342836390049
624,0.0158035497203987
625,0.00795800880460549
626,0.00675675675675676
627,0.00741115041266633
628,0.00799644602398934
629,0.00912863070539419
630,0.00967458223394899
631,0.0101936799184506
632,0.00990534888839974
633,0.0070635721493441
634,0.00587305172803253
635,0.00645756457564576
636,0
637,0.00599907706506691
638,0.00126103404791929
639,0.00129757785467128
640,0.000859845227858985
641,0.00364963503649635
642,0.000903342366757001
643,0.00177935943060498
644,0
645,0
646,0.000228623685413809
647,0
648,0.000231749710312862
649,0
650,0
651,0
652,0.000539665407447383
653,0
654,0.00077269800386349
655,0.000504986744097967
656,0.000746175848775028
657,0.00467355898597932
658,0.00557016865232864
659,0.00433034333436437
660,0.0430149195892269
661,0.0388349514563107
662,0.0383164582092515
663,0.0351082504388531
664,0.0180675569520817
665,0.0225563909774436
666,0.0194174757281553
667,0.0229254571026723
668,0.00466122856667222
669,0.00441753926701571
670,0.00645161290322581
671,0.00320410124959949
672,0.0150211462738807
673,0.0160243127503799
674,0
675,0.0164412622646513
676,0.0285714285714286
677,0.0133296688195685
678,0.0232558139534884
679,0.0158560959360426
680,0.00637533325605657
681,0.00894854586129754
682,0.00722442321137264
683,0.0102669404517454
684,0.00629977415903958
685,0.00437636761487965
686,0.0428635885095503
687,0.0457247370827618
688,0.0358158044343377
689,0.0566037735849057
690,0.042214744570205
691,0.0436432637571157
692,0.0246409674981104
693,0.0158227848101266
694,0.0161769070940932
695,0.0396039603960396
696,0.0222391469916222
697,0.0124378109452736
698,0.0218160377358491
699,0.0176541717049577
700,0.0232558139534884
701,0.0140967252222945
702,0.0165876777251185
703,0.0816363636363636
704,0.0766909284573052
705,0.0827598072952512
706,0.0339469280420751
707,0.0374149659863946
708,0.0375143843498274
709,0.0293715846994536
710,0.0432276657060519
711,0.0391408114558473
712,0.0443896424167694
713,0.0378341640235614
714,0.0372670807453416
715,0.0544990065285268
716,0.0525679758308157
717,0.0366153846153846
718,0.040979381443299
719,0.0252341311134235
720,0.032
721,0.0189189189189189
722,0.00452796015395064
723,0.00225326723749437
724,0.00273910066194933
725,0.00098255956767379
726,0.000831946755407654
727,0.000677659814772984
728,0.00167679731712429
729,0.00165084605860504
730,0.00233644859813084
731,0.00143530859134714
732,0.000394555139080687
733,0.00134357005758157
734,0.000913122880250457
735,0.0014903129657228
736,0.00105644431029279
737,0.000277161862527716
738,0.000695249130938586
739,0.00168431183830606
740,0.00100300902708124
741,0.000868809730668983
742,0.000780292052168097
743,0.0238212180746562
744,0.0151404151404151
745,0.0120710059171598
746,0.00321130378933847
747,0.00183150183150183
748,0.00351425224521671
749,0.00977039570102589
750,0.0101612546940579
751,0.00946159044829917
752,0.0207674943566591
753,0.0198166223010943
754,0
755,0.00152671755725191
756,0.00191204588910134
757,0.00212601468882876
758,0.0203389830508475
759,0.0208728652751423
760,0.0230848153214774
761,0.0230075464752439
762,0.0262407301768397
763,0.0222954633578907
