,AutoClass
0,0.000440528634361233
1,0.000394632991318074
2,0.00035486160397445
3,0.000625390869293308
4,0
5,0.000446627958910228
6,0.000255754475703325
7,0.000176803394625177
8,0.00016655562958028
9,0
10,0
11,0
12,0
13,0
14,0.0013745704467354
15,0.00535714285714286
16,0.00154320987654321
17,0.0037593984962406
18,0.000354233085370174
19,0
20,0
21,0
22,0.000319284802043423
23,0
24,0
25,0.000668896321070234
26,0
27,0.00115406809001731
28,0.00027972027972028
29,0
30,0
31,0.000231427910205971
32,0
33,0
34,0
35,0.000208159866777685
36,0.000195618153364632
37,0
38,0.000365697568111172
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0.000208029956313709
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0.000180962721679334
67,0
68,0.000376718779431155
69,0.000192529842125529
70,0
71,0.00018811136192626
72,0
73,0
74,0
75,0.00279524807826695
76,0.00108499095840868
77,0.00204918032786885
78,0.00210970464135021
79,0.00210896309314587
80,0.00139082058414465
81,0.00129087779690189
82,0.0013077593722755
83,0.00117233294255569
84,0.000602409638554217
85,0
86,0
87,0.000485672656629432
88,0.000604960677555959
89,0.000540248514316586
90,0
91,0.00040950040950041
92,0.000412201154163232
93,0.00119856172592889
94,0.00120845921450151
95,0.00101781170483461
96,0.000537056928034372
97,0
98,0.000424989375265618
99,0
100,0.000542888165038002
101,0
102,0.000674991562605467
103,0.000313873195229127
104,0.000615574022776239
105,0
106,0
107,0.00062015503875969
108,0.000616712920135677
109,0.000938967136150235
110,0.000637551801083838
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0.000374906273431642
123,0
124,0.000268420346262247
125,0.000507872016251904
126,0.000245519273262951
127,0
128,0.000417536534446764
129,0
130,0.000239348970799426
131,0.000431406384814495
132,0
133,0.000157405949944908
134,0
135,0.000303214069132808
136,0
137,0.000832292967124428
138,0
139,0
140,0
141,0.0010443864229765
142,0.00116959064327485
143,0.00240384615384615
144,0.00188146754468485
145,0.000914076782449726
146,0.00241545893719807
147,0.00470809792843691
148,0
149,0.000601684717208183
150,0
151,0.000637755102040816
152,0
153,0
154,0.00101798439090601
155,0.000310848616723656
156,0.00075046904315197
157,0.00161746866154468
158,0.000789889415481833
159,0
160,0
161,0.00019739439399921
162,0.000169290672083968
163,0.000674877678420786
164,0.000309405940594059
165,0.000600961538461538
166,0.00130992926381975
167,0
168,0
169,0
170,0
171,0.000184672206832872
172,0.000178030977390066
173,0
174,0
175,0.000275406224180667
176,0
177,0.000160720025715204
178,0
179,0
180,0.00029708853238265
181,0.000607164541590771
182,0.000291545189504373
183,0
184,0.000141864094197759
185,0
186,0
187,0
188,0
189,0.0002798376941374
190,0
191,0
192,0
193,0
194,0
195,0.000145285485979951
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0.000219731927049
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0.000161812297734628
224,0.000199880071956826
225,0
226,0
227,0
228,0.000216872695727608
229,0.00016627868307283
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0.000207511931936086
238,0.000424718623911659
239,0.000209555741827326
240,0.000214776632302405
241,0
242,0.000175070028011204
243,0
244,0
245,0
246,0
247,0
248,0
249,0.000145243282498184
250,0
251,0
252,0
253,0.000162999185004075
254,0.000163345311989546
255,0
256,0
257,0
258,0
259,0.000333333333333333
260,0
