,AutoClass
0,0.000440528634361233
1,0.000394632991318074
2,0.00035486160397445
3,0
4,0
5,0.000446627958910228
6,0.000255754475703325
7,0.000176803394625177
8,0.00016655562958028
9,0
10,0.000585480093676815
11,0
12,0.000851788756388416
13,0
14,0.000687285223367698
15,0
16,0
17,0
18,0
19,0
20,0.000424448217317487
21,0.000330687830687831
22,0.000957854406130268
23,0.000649350649350649
24,0
25,0.000334448160535117
26,0
27,0
28,0
29,0
30,0
31,0.000925711640823883
32,0.000444543231829295
33,0.00105241001894338
34,0.00329439952081462
35,0.00353871773522065
36,0.00332550860719875
37,0.00361285415478228
38,0.00365697568111172
39,0.00538760850044897
40,0.00454076367389061
41,0.00319808115130921
42,0.0022444399102224
43,0.00216403375892664
44,0.00459770114942529
45,0.00289017341040462
46,0.00322927879440258
47,0.00337049520352606
48,0.00285551113649343
49,0.000987166831194472
50,0.000434499239626331
51,0.000416059912627418
52,0.0012586532410321
53,0.00173913043478261
54,0
55,0.000504540867810293
56,0.000334896182183523
57,0.00184162062615101
58,0.000315955766192733
59,0.00107142857142857
60,0.000378931413414172
61,0.000336360578540195
62,0.00160642570281125
63,0
64,0
65,0.000595770032767352
66,0.000180962721679334
67,0.000741564701520208
68,0.000188359389715577
69,0.000770119368502118
70,0.000190041809198024
71,0
72,0.000167841557569654
73,0
74,0
75,0.00244584206848358
76,0.000723327305605787
77,0.00273224043715847
78,0.00316455696202532
79,0.0031634446397188
80,0.00139082058414465
81,0.00301204819277108
82,0.0021795989537925
83,0.000586166471277843
84,0.00120481927710843
85,0.00121432908318154
86,0
87,0.000971345313258863
88,0.00241984271022384
89,0.00108049702863317
90,0.00217391304347826
91,0.00204750204750205
92,0.00247320692497939
93,0.00199760287654814
94,0.000604229607250755
95,0.00356234096692112
96,0.00322234156820623
97,0.00235294117647059
98,0.00382490437739057
99,0
100,0.00162866449511401
101,0.00244498777506112
102,0.00168747890651367
103,0.00125549278091651
104,0.000307787011388119
105,0
106,0.000311720698254364
107,0
108,0
109,0
110,0.000318775900541919
111,0.000597728631201434
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0.000416146483562214
138,0
139,0
140,0
141,0
142,0
143,0
144,0.000940733772342427
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0.000375234521575985
157,0
158,0
159,0
160,0
161,0
162,0.000169290672083968
163,0
164,0.000309405940594059
165,0
166,0
167,0.000215796288303841
168,0
169,0.000480422772039395
170,0.000196309383588536
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0.00579322638146168
181,0.00485731633272617
182,0.00510204081632653
183,0.00597460791635549
184,0.00524897148531707
185,0.00102956317105457
186,0
187,0.000289059112588524
188,0.00128865979381443
189,0.000699594235343501
190,0
191,0
192,0
193,0.000300210147102972
194,0.000600120024004801
195,0
196,0.00041952174521046
197,0.00176795580110497
198,0.00151377535573721
199,0.00198982975900951
200,0.00118371212121212
201,0.00113973102347846
202,0.000486263068319961
203,0.000141843971631206
204,0
205,0.000237529691211401
206,0
207,0.000123977188197372
208,0
209,0.000113739763421292
210,0.000225810093711189
211,0
212,0.000288142918887768
213,0.000449842555105713
214,0.000219731927049
215,0
216,0
217,0.00080450522928399
218,0.000193986420950533
219,0.001171875
220,0.000196309383588536
221,0
222,0.000153704272978789
223,0.000485436893203883
224,0.000199880071956826
225,0
226,0
227,0.000198688654877806
228,0
229,0.00016627868307283
