,AutoClass
0,0.000440528634361233
1,0.000394632991318074
2,0.0007097232079489
3,0.00156347717323327
4,0.000183688464364438
5,0.000669941938365342
6,0.000255754475703325
7,0
8,0.00016655562958028
9,0
10,0.00234192037470726
11,0.00171919770773639
12,0.00340715502555366
13,0.00535236396074933
14,0.00206185567010309
15,0.00357142857142857
16,0
17,0
18,0
19,0
20,0
21,0.000661375661375661
22,0
23,0
24,0.000604412209126624
25,0
26,0
27,0.000577034045008655
28,0.00027972027972028
29,0
30,0
31,0.000462855820411942
32,0
33,0.000210482003788676
34,0.000299490865528601
35,0.000208159866777685
36,0.000195618153364632
37,0.000570450656018254
38,0.000365697568111172
39,0.000299311583358276
40,0
41,0.000399760143913652
42,0.000408079983676801
43,0.000216403375892664
44,0
45,0.000289017341040462
46,0.000269106566200215
47,0
48,0.000571102227298686
49,0.000246791707798618
50,0
51,0.000208029956313709
52,0
53,0
54,0
55,0.00151362260343088
56,0
57,0.00153468385512584
58,0.000631911532385466
59,0.000357142857142857
60,0.00113679424024252
61,0.000336360578540195
62,0.000803212851405623
63,0
64,0
65,0
66,0.000180962721679334
67,0.000556173526140156
68,0.000188359389715577
69,0.000577589526376588
70,0.000760167236792094
71,0.00018811136192626
72,0
73,0.00032916392363397
74,0.000163692912096906
75,0.000698812019566737
76,0.00289330922242315
77,0.00614754098360656
78,0.00738396624472574
79,0.0070298769771529
80,0.00231803430690774
81,0.00215146299483649
82,0.0021795989537925
83,0.00586166471277843
84,0.00783132530120482
85,0.00485731633272617
86,0.00864260294865277
87,0.0092277804759592
88,0.00181488203266788
89,0.00216099405726634
90,0.00108695652173913
91,0.00122850122850123
92,0.00329760923330585
93,0.00119856172592889
94,0.00120845921450151
95,0.00356234096692112
96,0.00322234156820623
97,0
98,0.00169995750106247
99,0
100,0.00271444082519001
101,0.00244498777506112
102,0.00168747890651367
103,0.00502197112366604
104,0.00277008310249307
105,0.000315258511979823
106,0
107,0
108,0
109,0.000312989045383412
110,0
111,0.0017931858936043
112,0
113,0
114,0
115,0.000119047619047619
116,0
117,0.0001232741617357
118,0
119,0.000324359390204346
120,0.00124636476942252
121,0
122,0.000999750062484379
123,0.000428265524625268
124,0.000671050865655617
125,0
126,0.000491038546525902
127,0
128,0.000139178844815588
129,0
130,0
131,0.000287604256542997
132,0
133,0.000157405949944908
134,0
135,0.000151607034566404
136,0.00132391879964696
137,0.000832292967124428
138,0.000851063829787234
139,0.00437158469945355
140,0.00587659157688541
141,0.002088772845953
142,0.00350877192982456
143,0.00721153846153846
144,0.00658513640639699
145,0.00731261425959781
146,0.00120772946859903
147,0.000941619585687382
148,0.00288739172281039
149,0.000601684717208183
150,0.00338983050847458
151,0.00191326530612245
152,0.00056980056980057
153,0
154,0.000678656260604004
155,0.000932545850170967
156,0.00075046904315197
157,0.000808734330772341
158,0.000394944707740916
159,0.00019387359441644
160,0
161,0
162,0
163,0.000168719419605197
164,0.000309405940594059
165,0
166,0.000261985852763951
167,0.000647388864911524
168,0.00091324200913242
169,0.000480422772039395
170,0
171,0
172,0.000356061954780132
173,0
174,0.000217912399215515
175,0.00110162489672267
176,0.000253421186011151
177,0.000321440051430408
178,0.000341122292341805
179,0
180,0.000445632798573975
181,0
182,0.000728862973760933
183,0
184,0.000425592282593276
185,0.000147080453007795
186,0
187,0
188,0
189,0
190,0
191,0.000139899272523783
192,0.000279524807826695
193,0
194,0.000400080016003201
195,0.000290570971959901
196,0
197,0.000220994475138122
198,0
199,0.000442184390891002
200,0.000236742424242424
201,0.000227946204695692
202,0.000243131534159981
203,0
204,0
